October 2024 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective October 1, 2024 through December 31, 2024",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
_2024_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
A9585,Gadobutrol injection,"SLATE RUN PHARMACEUTICALS, LLC",70436-0212-54,Gadobutrol,0.1 ML,7.5,20,75,1500
A9585,Gadobutrol injection,"SLATE RUN PHARMACEUTICALS, LLC",70436-0212-80,Gadobutrol,0.1 ML,7.5,1,75,75
A9585,Gadobutrol injection,"SLATE RUN PHARMACEUTICALS, LLC",70436-0214-54,Gadobutrol,0.1 ML,15,20,150,3000
A9585,Gadobutrol injection,"SLATE RUN PHARMACEUTICALS, LLC",70436-0214-80,Gadobutrol,0.1 ML,15,1,150,150
A9589,Insti hexaminolevulinate hcl,Photocure Inc,10511-3001-02,Cysview,100 MG,1,1,1,1
J0121,"Inj., omadacycline, 1 mg","Paratek Pharmaceuticals, Inc.",71715-0001-02,Nuzyra,1 MG,1,10,100,1000
J0122,"Inj., eravacycline, 1 mg","Tetraphase Pharmaceuticals, Inc.",71773-0050-12,Xerava,1 MG,1,12,50,600
J0122,"Inj., eravacycline, 1 mg","Tetraphase Pharmaceuticals, Inc.",71773-0100-12,Xerava,1 MG,1,12,100,1200
J0129,Abatacept injection,"E.R. Squibb & Sons, L.L.C.",00003-2187-13,Orencia,10 MG,1,1,25,25
J0129,Abatacept injection,"E.R. Squibb & Sons, L.L.C.",00003-2188-11,Orencia,10 MG,1,4,12.5,50
J0129,Abatacept injection,"E.R. Squibb & Sons, L.L.C.",00003-2188-51,Orencia,10 MG,1,4,12.5,50
J0129,Abatacept injection,"E.R. Squibb & Sons, L.L.C.",00003-2814-11,Orencia,10 MG,0.4,4,5,20
J0129,Abatacept injection,"E.R. Squibb & Sons, L.L.C.",00003-2818-11,Orencia,10 MG,0.7,4,8.75,35
J0131,"Inj, acetaminophen (nos)",Sandoz Inc.,00781-3156-95,Acetaminophen,10 MG,100,10,100,1000
J0131,"Inj, acetaminophen (nos)",Sandoz Inc.,00781-9274-95,Acetaminophen,10 MG,100,10,100,1000
J0131,"Inj, acetaminophen (nos)",Hikma Pharmaceuticals USA Inc.,24201-0100-24,Acetaminophen,10 MG,100,24,100,2400
J0131,"Inj, acetaminophen (nos)",Hikma Pharmaceuticals USA Inc.,24201-0110-24,Acetaminophen,10 MG,100,24,100,2400
J0131,"Inj, acetaminophen (nos)",Baxter Healthcare Corporation,36000-0306-60,Acetaminophen,10 MG,100,40,100,4000
J0131,"Inj, acetaminophen (nos)","HF Acquisition Co. LLC, DBA HealthFirst",51662-1540-01,Acetaminophen,10 MG,100,1,100,100
J0131,"Inj, acetaminophen (nos)","HF Acquisition Co. LLC, DBA HealthFirst",51662-1540-03,Acetaminophen,10 MG,100,24,100,2400
J0131,"Inj, acetaminophen (nos)",Eugia US LLC,55150-0307-24,Acetaminophen,10 MG,100,24,100,2400
J0131,"Inj, acetaminophen (nos)",Mylan Institutional LLC,67457-0940-10,Acetaminophen,10 MG,100,24,100,2400
J0131,"Inj, acetaminophen (nos)","Civica, Inc.",72572-0050-10,Acetaminophen,10 MG,100,10,100,1000
J0132,Acetylcysteine injection,Padagis US LLC,00574-0805-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Sagent Pharmaceuticals,25021-0812-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Sagent Pharmaceuticals,25021-0812-66,Acetylcysteine,100 mg,30,4,60,240
J0132,Acetylcysteine injection,Eugia US LLC,55150-0259-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,"FreseniUS Kabi USA, LLC",63323-0963-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,"FreseniUS Kabi USA, LLC",63323-0963-44,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Cumberland Pharmaceuticals Inc.,66220-0207-30,Acetadote,100 MG,30,4,60,240
J0132,Acetylcysteine injection,"Xellia Pharmaceuticals USA, LLC.",70594-0111-02,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,"Alvogen, Inc.",72611-0860-04,Acetylcysteine,100 MG,30,4,60,240
J0133,Acyclovir injection,Eugia US LLC,55150-0154-10,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,Eugia US LLC,55150-0155-20,Acyclovir Sodium,5 MG,20,10,200,2000
J0133,Acyclovir injection,"FreseniUS Kabi USA, LLC",63323-0325-10,Acyclovir Sodium,5 MG,20,10,100,1000
J0133,Acyclovir injection,"FreseniUS Kabi USA, LLC",63323-0325-14,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,"FreseniUS Kabi USA, LLC",63323-0325-20,Acyclovir Sodium,5 MG,20,10,200,2000
J0133,Acyclovir injection,"FreseniUS Kabi USA, LLC",63323-0325-24,Acyclovir Sodium,5 MG,20,10,200,2000
J0133,Acyclovir injection,ZYDUS PHARMACEUTICALS,68382-0048-10,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,ZYDUS PHARMACEUTICALS,68382-0049-10,Acyclovir Sodium,5 MG,20,10,200,2000
J0134,Inj acetaminophen -fresenius,"FreseniUS Kabi USA, LLC",63323-0434-00,Acetaminophen,10 MG,100,20,100,2000
J0136,"Inj, acetaminophen (b braun)",B. Braun Medical Inc.,00264-4050-80,Acetaminophen,10 MG,50,24,50,1200
J0136,"Inj, acetaminophen (b braun)",B. Braun Medical Inc.,00264-4050-90,Acetaminophen,10 MG,50,24,50,1200
J0136,"Inj, acetaminophen (b braun)",B. Braun Medical Inc.,00264-4100-90,Acetaminophen,10 MG,100,24,100,2400
J0137,"Inj, acetaminophen (hikma)",Hikma Pharmaceuticals USA Inc.,00143-9386-10,Acetaminophen,10 MG,100,10,100,1000
J0153,Adenosine inj 1mg,Henry Schein Inc.,00404-9809-02,Adenosine,1 MG,2,1,6,6
J0153,Adenosine inj 1mg,Henry Schein Inc.,00404-9993-02,Adenosine,1 MG,2,1,6,6
J0153,Adenosine inj 1mg,Pfizer Inc,00409-1932-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Pfizer Inc,00409-1932-02,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8776-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8777-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,NORTHSTAR RX LLC,16714-0180-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Northstar RxLLC,16714-0556-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,NORTHSTAR RX LLC,16714-0972-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Northstar RxLLC,16714-0997-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals,25021-0301-67,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals,25021-0301-68,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals,25021-0318-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals,25021-0318-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,"HF Acquisition Co. LLC, DBA HealthFirst",51662-1450-01,Adenosine,1 MG,4,1,12,12
J0153,Adenosine inj 1mg,"HF Acquisition Co. LLC, DBA HealthFirst",51662-1511-01,Adenosine,1 MG,4,1,4,4
J0153,Adenosine inj 1mg,"HF Acquisition Co. LLC, DBA HealthFirst",51662-1632-01,Adenosine,1 MG,2,1,6,6
J0153,Adenosine inj 1mg,Eugia US LLC,55150-0192-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Eugia US LLC,55150-0193-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-89,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"FreseniUS Kabi USA, LLC",63323-0651-90,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0854-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0855-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0856-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0857-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0858-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Mylan Institutional LLC,67457-0859-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Mylan Institutional LLC,72078-0033-02,Adenosine,1 MG,2,10,6,60
J0171,Adrenalin epinephrine inject,Henry Schein Inc.,00404-9810-01,Adrenalin,0.1 MG,1,1,10,10
J0171,Adrenalin epinephrine inject,Pfizer Inc,00409-4933-01,Epinephrine HCl,0.1 MG,10,10,10,100
J0171,Adrenalin epinephrine inject,"American Regent, Inc.",00517-1171-10,Epinephrine HCl,0.1 MG,1,10,10,100
J0171,Adrenalin epinephrine inject,"Par Pharmaceutical, Inc.",42023-0159-25,Adrenalin,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,"Par Pharmaceutical, Inc.",42023-0168-01,Epinephrine HCl,0.1 MG,30,1,300,300
J0171,Adrenalin epinephrine inject,"Par Pharmaceutical, Inc.",42023-0168-89,Epinephrine HCl,0.1 MG,30,1,300,300
J0171,Adrenalin epinephrine inject,"Par Pharmaceutical, Inc.",42023-0168-99,Epinephrine HCl,0.1 MG,30,1,300,300
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,50090-2058-00,Epinephrine HCl,0.1 MG,10,10,10,100
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,50090-3039-01,Epinephrine HCl,0.1mg,1,1,10,10
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,50090-3039-02,Epinephrine HCl,0.1 MG,1,10,10,100
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,50090-5569-00,Epinephrine HCl,0.1 MG,10,10,10,100
J0171,Adrenalin epinephrine inject,"HF Acquisition Co. LLC, DBA HealthFirst",51662-1290-01,Epinephrine HCl,0.1 MG,1,1,10,10
J0171,Adrenalin epinephrine inject,"HF Acquisition Co. LLC, DBA HealthFirst",51662-1290-03,Epinephrine HCl,0.1 MG,1,25,10,250
