HCPCS Code,NDC,Description,Drug Name,Pkg Size,Pkg Qty,BUPP,Payment Limit,ASP
A9579,00407-0690-15,"Gad-base mr contrast nos,1ml",Omniscan,15.0,10,150.0,1.502,1.417
A9579,00407-0690-17,"Gad-base mr contrast nos,1ml",Omniscan,15.0,10,150.0,1.502,1.417
A9579,00407-0690-20,"Gad-base mr contrast nos,1ml",Omniscan,20.0,10,200.0,1.502,1.417
A9579,00407-0690-22,"Gad-base mr contrast nos,1ml",Omniscan,20.0,10,200.0,1.502,1.417
A9579,00407-0690-70,"Gad-base mr contrast nos,1ml",Omniscan,100.0,10,1000.0,1.502,1.417
A9579,50419-0188-01,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,10.0,20,200.0,1.502,1.417
A9579,50419-0188-02,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,20.0,20,400.0,1.502,1.417
A9579,50419-0188-05,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,5.0,20,100.0,1.502,1.417
A9579,50419-0188-11,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,100.0,10,1000.0,1.502,1.417
A9579,50419-0188-15,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,15.0,20,300.0,1.502,1.417
A9579,50419-0188-36,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,10.0,5,50.0,1.502,1.417
A9579,50419-0188-37,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,15.0,5,75.0,1.502,1.417
A9579,50419-0188-38,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,20.0,5,100.0,1.502,1.417
A9579,50419-0188-58,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,50.0,10,500.0,1.502,1.417
A9579,50419-0188-81,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,5.0,20,100.0,1.502,1.417
A9579,50419-0188-82,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,10.0,20,200.0,1.502,1.417
A9579,50419-0188-83,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,15.0,20,300.0,1.502,1.417
A9579,50419-0188-84,"Gad-base mr contrast nos,1ml",Magnevist 46.9%,20.0,20,400.0,1.502,1.417
A9581,50419-0320-05,Gadoxetate disodium inj,Gadoxetate Disodium,10.0,5,50.0,14.729,13.895
A9581,50419-0320-15,Gadoxetate disodium inj,EOVIST,15.0,5,75.0,14.729,13.895
A9585,50419-0325-11,Gadobutrol injection,GADAVIST,7.5,20,1500.0,0.31,0.292
A9585,50419-0325-12,Gadobutrol injection,GADAVIST,10.0,20,2000.0,0.31,0.292
A9585,50419-0325-13,Gadobutrol injection,GADAVIST,15.0,20,3000.0,0.31,0.292
A9585,50419-0325-14,Gadobutrol injection,GADAVIST,30.0,10,3000.0,0.31,0.292
A9585,50419-0325-15,Gadobutrol injection,GADAVIST,65.0,10,6500.0,0.31,0.292
A9585,50419-0325-18,Gadobutrol injection,GADAVIST,30.0,10,3000.0,0.31,0.292
A9585,50419-0325-19,Gadobutrol injection,GADAVIST,65.0,10,6500.0,0.31,0.292
A9585,50419-0325-27,Gadobutrol injection,GADAVIST,7.5,5,375.0,0.31,0.292
A9585,50419-0325-28,Gadobutrol injection,GADAVIST,10.0,5,500.0,0.31,0.292
A9585,50419-0325-29,Gadobutrol injection,GADAVIST,15.0,5,750.0,0.31,0.292
A9585,50419-0325-37,Gadobutrol injection,GADAVIST,2.0,15,300.0,0.31,0.292
A9585,65219-0281-02,Gadobutrol injection,GADOBUTROL,2.0,15,300.0,0.31,0.292
A9585,65219-0281-07,Gadobutrol injection,GADOBUTROL,7.5,20,1500.0,0.31,0.292
A9585,65219-0281-10,Gadobutrol injection,GADOBUTROL,10.0,20,2000.0,0.31,0.292
A9585,65219-0281-15,Gadobutrol injection,GADOBUTROL,15.0,20,3000.0,0.31,0.292
A9585,65219-0287-30,Gadobutrol injection,GADOBUTROL,30.0,10,3000.0,0.31,0.292
A9585,65219-0289-65,Gadobutrol injection,GADOBUTROL,65.0,10,6500.0,0.31,0.292
A9589,10511-3001-02,Insti hexaminolevulinate hcl,CYSVIEW,1.0,1,1.0,1341.186,1265.27
J0121,71715-0001-02,"Inj., omadacycline, 1 mg",Nuzyra,1.0,10,1000.0,3.88,3.66
J0122,71773-0050-12,"Inj., eravacycline, 1 mg",Xerava,1.0,12,600.0,1.213,1.144
J0122,71773-0100-12,"Inj., eravacycline, 1 mg",Xerava,1.0,12,1200.0,1.213,1.144
J0129,00003-2187-13,Abatacept injection,ORENCIA,1.0,1,25.0,43.727,41.252
J0129,00003-2188-11,Abatacept injection,ORENCIA,1.0,4,50.0,43.727,41.252
J0129,00003-2188-51,Abatacept injection,ORENCIA CLICKJECT,1.0,4,50.0,43.727,41.252
J0129,00003-2814-11,Abatacept injection,ORENCIA ,0.4,4,20.0,43.727,41.252
J0129,00003-2818-11,Abatacept injection,ORENCIA ,0.7,4,35.0,43.727,41.252
J0131,00781-3156-95,"Inj, acetaminophen (nos)",Acetaminophen,100.0,10,1000.0,0.054,0.051
J0131,00781-9274-95,"Inj, acetaminophen (nos)",Acetaminophen,100.0,10,1000.0,0.054,0.051
J0131,24201-0100-24,"Inj, acetaminophen (nos)",Acetaminophen,100.0,24,2400.0,0.054,0.051
J0131,24201-0110-24,"Inj, acetaminophen (nos)",ACETAMINOPHEN,100.0,24,2400.0,0.054,0.051
J0131,36000-0306-60,"Inj, acetaminophen (nos)",ACETAMINOPHEN,100.0,40,4000.0,0.054,0.051
J0131,51662-1540-01,"Inj, acetaminophen (nos)",Acetaminophen,100.0,1,100.0,0.054,0.051
J0131,55150-0307-24,"Inj, acetaminophen (nos)",Acetaminophen,100.0,24,2400.0,0.054,0.051
J0131,67457-0940-10,"Inj, acetaminophen (nos)",Acetaminophen,100.0,24,2400.0,0.054,0.051
J0131,72572-0050-10,"Inj, acetaminophen (nos)",Acetaminophen,100.0,10,1000.0,0.054,0.051
J0132,00574-0805-30,Acetylcysteine injection,Acetylcysteine,30.0,4,240.0,0.57,0.538
J0132,25021-0812-30,Acetylcysteine injection,Acetylcysteine,30.0,4,240.0,0.57,0.538
J0132,25021-0812-66,Acetylcysteine injection,Acetylcysteine,30.0,4,240.0,0.57,0.538
J0132,55150-0259-30,Acetylcysteine injection,Acetylcysteine,30.0,4,240.0,0.57,0.538
J0132,63323-0963-30,Acetylcysteine injection,ACETYLCYSTEINE,30.0,4,240.0,0.57,0.538
J0132,63323-0963-44,Acetylcysteine injection,Acetylcysteine Injection,30.0,4,240.0,0.57,0.538
J0132,66220-0207-30,Acetylcysteine injection,ACETADOTE,30.0,4,240.0,0.57,0.538
J0132,70594-0111-02,Acetylcysteine injection,ACETYLCYSTEINE,30.0,4,240.0,0.57,0.538
J0132,72611-0860-04,Acetylcysteine injection,Acetylcysteine,30.0,4,240.0,0.57,0.538
J0133,55150-0154-10,Acyclovir injection,Acyclovir Sodium,10.0,10,1000.0,0.039,0.037
J0133,55150-0155-20,Acyclovir injection,Acyclovir Sodium,20.0,10,2000.0,0.039,0.037
J0133,63323-0325-10,Acyclovir injection,Acyclovir Sodium,20.0,10,1000.0,0.039,0.037
J0133,63323-0325-14,Acyclovir injection,Acyclovir Sodium,10.0,10,1000.0,0.039,0.037
J0133,63323-0325-20,Acyclovir injection,Acyclovir Sodium,20.0,10,2000.0,0.039,0.037
J0133,63323-0325-24,Acyclovir injection,Acyclovir Sodium,20.0,10,2000.0,0.039,0.037
J0133,68382-0048-10,Acyclovir injection,Acyclovir Sodium,10.0,10,1000.0,0.039,0.037
J0133,68382-0049-10,Acyclovir injection,Acyclovir Sodium,20.0,10,2000.0,0.039,0.037
J0134,63323-0434-00,Inj acetaminophen -fresenius,Acetaminophen,100.0,20,2000.0,0.048,0.045
J0136,00264-4050-80,"Inj, acetaminophen (b braun)",Acetaminophen,50.0,24,1200.0,0.05,0.047
J0136,00264-4100-90,"Inj, acetaminophen (b braun)",ACETAMINOPHEN,100.0,24,2400.0,0.05,0.047
J0137,00143-9386-10,"Inj, acetaminophen (hikma)",Acetaminophen,100.0,10,1000.0,0.053,0.05
J0153,00404-9809-02,Adenosine inj 1mg,Adenosine,2.0,1,6.0,0.423,0.399
J0153,00404-9993-02,Adenosine inj 1mg,Adenosine,2.0,1,6.0,0.423,0.399
J0153,00409-1932-01,Adenosine inj 1mg,Adenosine,20.0,1,60.0,0.423,0.399
J0153,00409-1932-02,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,00703-8776-01,Adenosine inj 1mg,Adenosine,20.0,1,60.0,0.423,0.399
J0153,00703-8777-01,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,16714-0180-01,Adenosine inj 1mg,Adenosine,20.0,1,60.0,0.423,0.399
J0153,16714-0556-01,Adenosine inj 1mg,ADENOSINE,20.0,1,60.0,0.423,0.399
J0153,16714-0972-01,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,16714-0997-01,Adenosine inj 1mg,ADENOSINE,30.0,1,90.0,0.423,0.399
J0153,25021-0301-67,Adenosine inj 1mg,Adenosine,2.0,10,60.0,0.423,0.399
J0153,25021-0301-68,Adenosine inj 1mg,Adenosine,4.0,10,120.0,0.423,0.399
J0153,25021-0318-02,Adenosine inj 1mg,Adenosine,2.0,10,60.0,0.423,0.399
J0153,25021-0318-04,Adenosine inj 1mg,Adenosine,4.0,10,120.0,0.423,0.399
J0153,51662-1450-01,Adenosine inj 1mg,Adenosine,4.0,1,12.0,0.423,0.399
J0153,51662-1511-01,Adenosine inj 1mg,Adenosine,4.0,1,4.0,0.423,0.399
J0153,55150-0192-01,Adenosine inj 1mg,ADENOSINE,20.0,1,60.0,0.423,0.399
J0153,55150-0193-01,Adenosine inj 1mg,ADENOSINE,30.0,1,90.0,0.423,0.399
J0153,63323-0651-02,Adenosine inj 1mg,Adenosine,2.0,10,60.0,0.423,0.399
J0153,63323-0651-04,Adenosine inj 1mg,Adenosine,4.0,10,120.0,0.423,0.399
J0153,63323-0651-20,Adenosine inj 1mg,Adenosine,20.0,1,60.0,0.423,0.399
J0153,63323-0651-30,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,63323-0651-89,Adenosine inj 1mg,Adenosine,2.0,10,60.0,0.423,0.399
J0153,63323-0651-90,Adenosine inj 1mg,Adenosine,4.0,10,120.0,0.423,0.399
J0153,67457-0854-04,Adenosine inj 1mg,ADENOSINE,4.0,10,120.0,0.423,0.399
J0153,67457-0855-02,Adenosine inj 1mg,ADENOSINE,2.0,10,60.0,0.423,0.399
J0153,67457-0856-20,Adenosine inj 1mg,Adenosine,20.0,1,60.0,0.423,0.399
J0153,67457-0857-30,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,67457-0858-20,Adenosine inj 1mg,ADENOSINE,20.0,1,60.0,0.423,0.399
J0153,67457-0859-30,Adenosine inj 1mg,Adenosine,30.0,1,90.0,0.423,0.399
J0153,72078-0033-02,Adenosine inj 1mg,Adenosine,2.0,10,60.0,0.423,0.399
J0171,00404-9810-01,Adrenalin epinephrine inject,Adrenalin,1.0,1,10.0,0.807,0.761
J0171,00409-4933-01,Adrenalin epinephrine inject,Epinephrine HCl,10.0,10,100.0,0.807,0.761
J0171,00517-1171-10,Adrenalin epinephrine inject,EPINEPHRINE,1.0,10,100.0,0.807,0.761
J0171,42023-0159-25,Adrenalin epinephrine inject,Adrenalin,1.0,25,250.0,0.807,0.761
J0171,42023-0168-01,Adrenalin epinephrine inject,Epinephrine Hcl,30.0,1,300.0,0.807,0.761
J0171,42023-0168-89,Adrenalin epinephrine inject,Epinephrine HCl,30.0,1,300.0,0.807,0.761
J0171,42023-0168-99,Adrenalin epinephrine inject,Epinephrine HCl,30.0,1,300.0,0.807,0.761
J0171,50090-2058-00,Adrenalin epinephrine inject,Epinephrine HCl,10.0,10,100.0,0.807,0.761
J0171,50090-3039-01,Adrenalin epinephrine inject,EPINEPHRINE,1.0,1,10.0,0.807,0.761
J0171,50090-3039-02,Adrenalin epinephrine inject,Epinephrine HCl,1.0,10,100.0,0.807,0.761
J0171,50090-5569-00,Adrenalin epinephrine inject,Epinephrine,10.0,10,100.0,0.807,0.761
J0171,51662-1290-01,Adrenalin epinephrine inject,Epinephrine HCl,1.0,1,10.0,0.807,0.761
J0171,51662-1290-03,Adrenalin epinephrine inject,Epinephrine HCl,1.0,25,250.0,0.807,0.761
J0171,51662-1531-01,Adrenalin epinephrine inject,Epinephrine HCl,10.0,1,10.0,0.807,0.761
J0171,51662-1629-01,Adrenalin epinephrine inject,Epinephrine HCl,10.0,1,10.0,0.807,0.761
J0171,51662-1629-03,Adrenalin epinephrine inject,Epinephrine HCl,10.0,10,100.0,0.807,0.761
J0172,64406-0101-01,"Inj, aducanumab-avwa, 2 mg",Aduhelm,1.7,1,85.0,5.978,5.64
J0172,64406-0102-02,"Inj, aducanumab-avwa, 2 mg",Aduhelm,3.0,1,150.0,5.978,5.64
J0173,00404-9857-01,"Inj, epinephrine (belcher)",Epinephrine HCl (Belcher),1.0,1,10.0,1.859,1.754
J0174,62856-0212-01,"Inj, lecanemab-irmb, 1 mg",Leqembi,2.0,1,200.0,1.336,1.26
J0174,62856-0215-01,"Inj, lecanemab-irmb, 1 mg",Leqembi,5.0,1,500.0,1.336,1.26
J0177,61755-0050-01,"Inj, aflibercept hd, 1 mg",Eylea HD,0.07,1,8.0,335.707,316.705
J0178,61755-0005-01,Aflibercept injection,Eylea,0.05,1,2.0,835.399,788.112
J0178,61755-0005-02,Aflibercept injection,EYLEA,0.05,1,2.0,835.399,788.112
J0179,00078-0827-60,"Inj, brolucizumab-dbll, 1 mg",Beovu,0.05,1,6.0,331.229,312.48
J0179,00078-0827-61,"Inj, brolucizumab-dbll, 1 mg",Beovu,0.05,1,6.0,331.229,312.48
J0180,58468-0040-01,Agalsidase beta injection,Fabrazyme,1.0,1,35.0,222.931,210.312
J0180,58468-0041-01,Agalsidase beta injection,Fabrazyme,1.0,1,5.0,222.931,210.312
J0185,47426-0201-01,"Inj., aprepitant, 1 mg",Cinvanti,18.0,1,130.0,1.716,1.619
J0202,58468-0200-01,"Injection, alemtuzumab",LEMTRADA,1.2,1,12.0,2348.836,2215.883
J0206,00143-9533-01,Inj allopurinol sodium 1 mg,Allopurinol,1.0,1,500.0,5.49,5.179
J0206,65219-0380-30,Inj allopurinol sodium 1 mg,Allopurinol,1.0,1,500.0,5.49,5.179
J0206,67457-0187-50,Inj allopurinol sodium 1 mg,Aloprim,1.0,1,500.0,5.49,5.179
J0206,67457-0978-50,Inj allopurinol sodium 1 mg,Aloprim,1.0,1,500.0,5.49,5.179
J0218,58468-0050-01,Inj olipudase alfa-rpcp 1mg,XENPOZYME,1.0,1,20.0,381.833,360.22
J0218,58468-0051-01,Inj olipudase alfa-rpcp 1mg,XENPOZYME,1.0,1,4.0,381.833,360.22
J0219,58468-0426-01,Inj aval alfa-nqpt 4mg,Nexviazyme,1.0,1,25.0,77.6,73.208
J0221,58468-0160-01,Lumizyme injection,Lumizyme,1.0,1,5.0,201.667,190.252
J0221,58468-0160-02,Lumizyme injection,Lumizyme,1.0,10,50.0,201.667,190.252
J0222,71336-1000-01,"Inj., patisiran, 0.1 mg",Onpattro,5.0,1,100.0,99.352,93.728
J0223,71336-1001-01,Inj givosiran 0.5 mg,Givlaari,1.0,1,378.0,112.279,105.924
J0224,71336-1002-01,"Inj. lumasiran, 0.5 mg",Oxlumo,0.5,1,189.0,318.494,300.466
J0225,71336-1003-01,"Inj, vutrisiran, 1 mg",Amvuttra ,0.5,1,25.0,4932.109,4652.933
J0248,61958-2901-02,"Inj, remdesivir, 1 mg",Veklury,1.0,1,100.0,6.354,5.994
J0256,00053-7201-02,Alpha 1 proteinase inhibitor,Zemaira,1.0,1,0.1,4.831,4.558
J0256,00053-7202-02,Alpha 1 proteinase inhibitor,ZEMAIRA,1.0,1,0.1,4.831,4.558
J0256,00053-7203-02,Alpha 1 proteinase inhibitor,ZEMAIRA,1.0,1,0.1,4.831,4.558
J0256,00944-2814-01,Alpha 1 proteinase inhibitor,Aralast NP,1.0,1,0.1,4.831,4.558
J0256,00944-2815-01,Alpha 1 proteinase inhibitor,Aralast NP,1.0,1,0.1,4.831,4.558
J0256,13533-0705-01,Alpha 1 proteinase inhibitor,Prolastin-C,1.0,1,0.1,4.831,4.558
J0257,00944-2884-01,Glassia injection,GLASSIA             ,1.0,1,0.1,5.385,5.08
J0278,00641-6166-10,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0278,00641-6167-10,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,00703-9032-03,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,00703-9040-03,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0278,23155-0290-41,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,23155-0290-42,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0278,23155-0785-41,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,23155-0786-41,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0278,25021-0173-02,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,25021-0173-04,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0278,63323-0815-02,Amikacin sulfate injection,Amikacin Sulfate,2.0,10,50.0,0.788,0.743
J0278,63323-0815-04,Amikacin sulfate injection,Amikacin Sulfate,4.0,10,100.0,0.788,0.743
J0280,00404-9813-10,Aminophyllin 250 mg inj,Aminophylline,10.0,1,1.0,13.179,12.433
J0280,00404-9814-20,Aminophyllin 250 mg inj,Aminophylline,20.0,1,2.0,13.179,12.433
J0280,00409-5921-01,Aminophyllin 250 mg inj,Aminophylline,10.0,25,25.0,13.179,12.433
J0280,00409-5922-01,Aminophyllin 250 mg inj,Aminophylline,20.0,25,50.0,13.179,12.433
J0280,51662-1204-01,Aminophyllin 250 mg inj,Aminophylline,10.0,1,1.0,13.179,12.433
J0280,51662-1204-03,Aminophyllin 250 mg inj,Aminophylline,10.0,25,25.0,13.179,12.433
J0280,51662-1341-01,Aminophyllin 250 mg inj,Aminophylline,20.0,1,2.0,13.179,12.433
J0280,51662-1341-03,Aminophyllin 250 mg inj,Aminophylline,20.0,25,50.0,13.179,12.433
J0283,43066-0150-10,"Inj, amiodarone (nexterone)",Nexterone,100.0,1,5.0,2.422,2.285
J0283,43066-0360-20,"Inj, amiodarone (nexterone)",Nexterone,200.0,1,12.0,2.422,2.285
J0285,39822-1055-05,Amphotericin b,Amphotericin B,1.0,1,1.0,46.899,44.244
J0289,00469-3051-30,Amphotericin b liposome inj,Ambisome,1.0,1,5.0,21.631,20.407
J0289,55150-0365-01,Amphotericin b liposome inj,AMPHOTERICIN B LIPOSOME,1.0,1,5.0,21.631,20.407
J0290,00404-9816-99,Ampicillin 500 mg inj,Ampicillin Sodium,1.0,1,2.0,0.88,0.83
J0290,00404-9818-99,Ampicillin 500 mg inj,Ampicillin Sodium,1.0,1,4.0,0.88,0.83
J0290,00409-3718-01,Ampicillin 500 mg inj,Ampicillin Sodium,1.0,10,10.0,0.88,0.83
