0019U,Onc rna tiss predict alg,A,,, ,,,,,,,
0020M,Onc cns alys 30000 dna loci,A,,, ,,,,,,,
00210,Anesth cranial surg nos,N,,, ,,,,,,,
00211,Anesth cran surg hemotoma,C,,, ,,,,,,,
00212,Anesth skull drainage,N,,, ,,,,,,,
00214,Anesth skull drainage,C,,, ,,,,,,,
00215,Anesth skull repair/fract,C,,, ,,,,,,,
00216,Anesth head vessel surgery,N,,, ,,,,,,,
00218,Anesth special head surgery,N,,, ,,,,,,,
0021U,Onc prst8 detcj 8 autoantb,Q4,,, ,,,,,,,
00220,Anesth intrcrn nerve,N,,, ,,,,,,,
00222,Anesth head nerve surgery,N,,, ,,,,,,,
0022U,Tgsap nsm lung neo dna&rna23,A,,, ,,,,,,,
0023U,Onc aml dna detcj/nondetcj,A,,, ,,,,,,,
0024U,Glyca nuc mr spectrsc quan,Q4,,, ,,,,,,,
0025U,Tenofovir liq chrom ur quan,Q4,,, ,,,,,,,
0026U,Onc thyr dna&mrna 112 genes,A,,, ,,,,,,,
0027U,Jak2 gene trgt seq alys,A,,, ,,,,,,,
0029U,Rx metab advrs trgt seq alys,A,,, ,,,,,,,
00300,Anesth head/neck/ptrunk,N,,, ,,,,,,,
0030U,Rx metab warf trgt seq alys,A,,, ,,,,,,,
0031U,Cyp1a2 gene,A,,, ,,,,,,,
00320,Anesth neck organ 1yr/>,N,,, ,,,,,,,
00322,Anesth biopsy of thyroid,N,,, ,,,,,,,
00326,Anesth larynx/trach < 1 yr,N,,, ,,,,,,,
0032U,Comt gene,A,,, ,,,,,,,
0033U,Htr2a htr2c genes,A,,, ,,,,,,,
0034U,Tpmt nudt15 genes,A,,, ,,,,,,,
00350,Anesth neck vessel surgery,N,,, ,,,,,,,
00352,Anesth neck vessel surgery,N,,, ,,,,,,,
0035U,Neuro csf prion prtn qual,Q4,,, ,,,,,,,
0036U,Xome tum & nml spec seq alys,A,,, ,,,,,,,
0037U,Trgt gen seq dna 324 genes,A,,, ,,,,,,,
0038U,Vitamin d srm microsamp quan,Q4,,, ,,,,,,,
0039U,Dna antb 2strand hi avidity,Q4,,, ,,,,,,,
00400,Anesth skin ext/per/atrunk,N,,, ,,,,,,,
00402,Anesth surgery of breast,N,,, ,,,,,,,
00404,Anesth surgery of breast,N,,, ,,,,,,,
00406,Anesth surgery of breast,N,,, ,,,,,,,
0040U,Bcr/abl1 gene major bp quan,A,,, ,,,,,,,
00410,Anesth correct heart rhythm,N,,, ,,,,,,,
0041U,B brgdrferi antb 5 prtn igm,Q4,,, ,,,,,,,
0042T,Ct perfusion w/contrast cbf,N,,, ,,,,,,,
0042U,B brgdrferi antb 12 prtn igg,Q4,,, ,,,,,,,
0043U,Tbrf b grp antb 4 prtn igm,Q4,,, ,,,,,,,
0044U,Tbrf b grp antb 4 prtn igg,Q4,,, ,,,,,,,
00450,Anesth surgery of shoulder,N,,, ,,,,,,,
00454,Anesth collar bone biopsy,N,,, ,,,,,,,
0045U,Onc brst dux carc is 12 gene,A,,, ,,,,,,,
0046U,Flt3 gene itd variants quan,A,,, ,,,,,,,
00470,Anesth removal of rib,N,,, ,,,,,,,
00472,Anesth chest wall repair,N,,, ,,,,,,,
00474,Anesth surgery of rib,C,,, ,,,,,,,
0047U,Onc prst8 mrna 17 gene alg,A,,, ,,,,,,,
0048U,Onc sld org neo dna 468 gene,A,,, ,,,,,,,
0049U,Npm1 gene analysis quan,A,,, ,,,,,,,
00500,Anesth esophageal surgery,N,,, ,,,,,,,
0050U,Trgt gen seq dna 194 genes,A,,, ,,,,,,,
0051U,Rx mntr lc-ms/ms ur/bld 31,Q4,,, ,,,,,,,
00520,Anesth chest procedure,N,,, ,,,,,,,
00522,Anesth chest lining biopsy,N,,, ,,,,,,,
00524,Anesth chest drainage,C,,, ,,,,,,,
00528,Anes mediascpy & dx thorscpy,N,,, ,,,,,,,
00529,Anes medscpy&thorscpy 1 lung,N,,, ,,,,,,,
0052U,Lpoprtn bld w/5 maj classes,Q4,,, ,,,,,,,
00530,Anesth pacemaker insertion,N,,, ,,,,,,,
00532,Anesth vascular access,N,,, ,,,,,,,
00534,Anesth cardioverter/defib,N,,, ,,,,,,,
00537,Anesth cardiac electrophys,N,,, ,,,,,,,
00539,Anesth trach-bronch reconst,N,,, ,,,,,,,
00540,Anesth chest surgery,C,,, ,,,,,,,
00541,Anesth one lung ventilation,N,,, ,,,,,,,
00542,Anesthesia removal pleura,C,,, ,,,,,,,
00546,Anesth lung chest wall surg,C,,, ,,,,,,,
00548,Anesth trachea bronchi surg,N,,, ,,,,,,,
0054T,Bone srgry cmptr fluor image,N,,, ,,,,,,,
0054U,Rx mntr 14+ drugs & sbsts,Q4,,, ,,,,,,,
00550,Anesth sternal debridement,N,,, ,,,,,,,
0055T,Bone srgry cmptr ct/mri imag,N,,, ,,,,,,,
0055U,Card hrt trnspl 96 dna seq,A,,, ,,,,,,,
00560,Anesth heart surg w/o pump,C,,, ,,,,,,,
00561,Anesth heart surg <1 yr,C,,, ,,,,,,,
00562,Anesth hrt surg w/pmp age 1+,C,,, ,,,,,,,
00563,Anesth heart surg w/arrest,N,,, ,,,,,,,
00566,Anesth cabg w/o pump,N,,, ,,,,,,,
00567,Anesth cabg w/pump,C,,, ,,,,,,,
00580,Anesth heart/lung transplnt,C,,, ,,,,,,,
0058U,Onc merkel cll carc srm quan,Q4,,, ,,,,,,,
0059U,Onc merkel cll carc srm +/-,Q4,,, ,,,,,,,
00600,Anesth spine cord surgery,N,,, ,,,,,,,
00604,Anesth sitting procedure,C,,, ,,,,,,,
0060U,Twn zyg gen seq alys chrms2,A,,, ,,,,,,,
0061U,Tc meas 5 bmrk sfdi m-s alys,Q4,,, ,,,,,,,
00620,Anesth spine cord surgery,N,,, ,,,,,,,
00625,Anes spine tranthor w/o vent,N,,, ,,,,,,,
00626,Anes spine transthor w/vent,N,,, ,,,,,,,
0062U,Ai sle igg&igm alys 80 bmrk,Q4,,, ,,,,,,,
00630,Anesth spine cord surgery,N,,, ,,,,,,,
00632,Anesth removal of nerves,C,,, ,,,,,,,
00635,Anesth lumbar puncture,N,,, ,,,,,,,
0063U,Neuro autism 32 amines alg,Q4,,, ,,,,,,,
00640,Anesth spine manipulation,N,,, ,,,,,,,
0064U,Antb tp total&rpr ia qual,Q4,,, ,,,,,,,
0065U,Syfls tst nontreponemal antb,Q4,,, ,,,,,,,
00670,Anesth spine cord surgery,N,,, ,,,,,,,
0067U,Onc brst imhchem prfl 4 bmrk,A,,, ,,,,,,,
0068U,Candida species pnl amp prb,Q4,,, ,,,,,,,
0069U,Onc clrct microrna mir-31-3p,A,,, ,,,,,,,
00700,Anesth abdominal wall surg,N,,, ,,,,,,,
00702,Anesth for liver biopsy,N,,, ,,,,,,,
0070U,Cyp2d6 gen com&slct rar vrnt,A,,, ,,,,,,,
0071T,Us leiomyomata ablate <200,J1,5414,35.6573,"$3,179.53",.,$635.91,,,,,
0071U,Cyp2d6 full gene sequence,A,,, ,,,,,,,
0072T,Fcsd us abltj leiomyom>=200,J1,5414,35.6573,"$3,179.53",.,$635.91,,,,,
0072U,Cyp2d6 gen cyp2d6-2d7 hybrid,A,,, ,,,,,,,
00730,Anesth abdominal wall surg,N,,, ,,,,,,,
00731,Anes upr gi ndsc px nos,N,,, ,,,,,,,
00732,Anes upr gi ndsc px ercp,N,,, ,,,,,,,
0073U,Cyp2d6 gen cyp2d7-2d6 hybrid,A,,, ,,,,,,,
0074U,Cyp2d6 nonduplicated gene,A,,, ,,,,,,,
00750,Anes hrna rpr upr abd nos,N,,, ,,,,,,,
00752,Anes hrna rpr lmbr&vnt&/dehs,N,,, ,,,,,,,
00754,Anes hrna rpr omphalocele,N,,, ,,,,,,,
00756,Anes hrna rpr diphrg hrna,N,,, ,,,,,,,
0075T,Perq stent/chest vert art,C,,, ,,,,,,,
0075U,Cyp2d6 5' gene dup/mlt,A,,, ,,,,,,,
0076T,S&i stent/chest vert art,C,,, ,,,,,,,
0076U,Cyp2d6 3' gene dup/mlt,A,,, ,,,,,,,
00770,Anes px maj abd blood vessel,N,,, ,,,,,,,
0077U,Ig paraprotein qual bld/ur,Q4,,, ,,,,,,,
00790,Anes iper upr abd nos,N,,, ,,,,,,,
00792,Anes iper upr abd prtl hptc,C,,, ,,,,,,,
00794,Anes iper upr abd pncrtect,C,,, ,,,,,,,
00796,Anes iper upr abd lvr trnspl,C,,, ,,,,,,,
00797,Anes iper upr abd gstr px mo,N,,, ,,,,,,,
0079U,Cmprtv dna alys mlt snps,E1,,, ,,,,,,,
00800,Anesth abdominal wall surg,N,,, ,,,,,,,
00802,Anesth fat layer removal,N,,, ,,,,,,,
0080U,Onc lng 5 clin rsk factr alg,A,,, ,,,,,,,
00811,Anes lwr intst ndsc nos,N,,, ,,,,,,,
00812,Anes lwr intst scr colsc,N,,, ,,,,,,,
00813,Anes upr lwr gi ndsc px,N,,, ,,,,,,,
00820,Anesth abdominal wall surg,N,,, ,,,,,,,
0082U,Rx test def 90+ rx/sbsts ur,Q4,,, ,,,,,,,
00830,Anesth repair of hernia,N,,, ,,,,,,,
00832,Anesth repair of hernia,N,,, ,,,,,,,
00834,Anesth hernia repair < 1 yr,N,,, ,,,,,,,
00836,Anesth hernia repair preemie,N,,, ,,,,,,,
0083U,Onc rspse chemo cntrst tomog,Q4,,, ,,,,,,,
00840,Anesth surg lower abdomen,N,,, ,,,,,,,
00842,Anesth amniocentesis,N,,, ,,,,,,,
00844,Anesth pelvis surgery,C,,, ,,,,,,,
00846,Anesth hysterectomy,C,,, ,,,,,,,
00848,Anesth pelvic organ surg,C,,, ,,,,,,,
0084U,Rbc dna gnotyp 10 bld groups,A,,, ,,,,,,,
00851,Anesth tubal ligation,N,,, ,,,,,,,
00860,Anesth surgery of abdomen,N,,, ,,,,,,,
00862,Anesth kidney/ureter surg,N,,, ,,,,,,,
00864,Anesth removal of bladder,C,,, ,,,,,,,
00865,Anesth removal of prostate,N,,, ,,,,,,,
00866,Anesth removal of adrenal,C,,, ,,,,,,,
00868,Anesth kidney transplant,C,,, ,,,,,,,
0086U,Nfct ds bact&fng org id 6+,Q4,,, ,,,,,,,
00870,Anesth bladder stone surg,N,,, ,,,,,,,
00872,Anesth kidney stone destruct,N,,, ,,,,,,,
00873,Anesth kidney stone destruct,N,,, ,,,,,,,
0087U,Crd hrt trnspl mrna 1283 gen,A,,, ,,,,,,,
00880,Anesth abdomen vessel surg,N,,, ,,,,,,,
00882,Anesth major vein ligation,C,,, ,,,,,,,
0088U,Trnsplj kdn algrft rej 1494,A,,, ,,,,,,,
0089U,Onc mlnma prame & linc00518,Q4,,, ,,,,,,,
00902,Anesth anorectal surgery,N,,, ,,,,,,,
00904,Anesth perineal surgery,C,,, ,,,,,,,
00906,Anes vulvectomy,N,,, ,,,,,,,
00908,Anesth removal of prostate,C,,, ,,,,,,,
0090U,Onc cutan mlnma mrna 23 gene,A,,, ,,,,,,,
00910,Anesth bladder surgery,N,,, ,,,,,,,
00912,Anesth bladder tumor surg,N,,, ,,,,,,,
00914,Anesth removal of prostate,N,,, ,,,,,,,
00916,Anesth bleeding control,N,,, ,,,,,,,
00918,Anesth stone removal,N,,, ,,,,,,,
0091U,Onc clrct scr whl bld alg,E1,,, ,,,,,,,
00920,Anesth genitalia surgery,N,,, ,,,,,,,
00921,Anesth vasectomy,N,,, ,,,,,,,
00922,Anesth sperm duct surgery,N,,, ,,,,,,,
00924,Anesth testis exploration,N,,, ,,,,,,,
00926,Anesth removal of testis,N,,, ,,,,,,,
00928,Anesth removal of testis,N,,, ,,,,,,,
0092U,Onc lng 3 prtn bmrk plsm alg,Q4,,, ,,,,,,,
00930,Anesth testis suspension,N,,, ,,,,,,,
00932,Anesth amputation of penis,C,,, ,,,,,,,
00934,Anesth penis nodes removal,C,,, ,,,,,,,
00936,Anesth penis nodes removal,C,,, ,,,,,,,
00938,Anesth insert penis device,N,,, ,,,,,,,
0093U,Rx mntr 65 com drugs urine,Q4,,, ,,,,,,,
00940,Anesth vaginal procedures,N,,, ,,,,,,,
00942,Anesth surg on vag/urethral,N,,, ,,,,,,,
00944,Anesth vaginal hysterectomy,N,,, ,,,,,,,
00948,Anesth repair of cervix,N,,, ,,,,,,,
0094U,Genome rapid sequence alys,A,,, ,,,,,,,
00950,Anesth vaginal endoscopy,N,,, ,,,,,,,
00952,Anesth hysteroscope/graph,N,,, ,,,,,,,
0095T,Rmvl artific disc addl crvcl,C,,, ,,,,,,,
0095U,Ee 2 prtn bmrk elisa est,Q4,,, ,,,,,,,
0096U,Hpv hi risk types male urine,Q4,,, ,,,,,,,
0098T,Rev artific disc addl,C,,, ,,,,,,,
0100T,Prosth retina receive&gen,E2,,, ,,,,,,,
0101T,Esw muscskel sys nos,T,5111,2.6902,$239.88,.,$47.98,,,,,
0101U,Hered colon ca do 15 genes,A,,, ,,,,,,,
0102T,Esw phy anes lat hmrl epcndl,J1,5113,36.3872,"$3,244.61",.,$648.93,,,,,
0102U,Hered brst ca rltd do 17 gen,A,,, ,,,,,,,
0103U,Hered ova ca pnl 24 genes,A,,, ,,,,,,,
0105U,Neph ckd mult eclia tum nec,Q4,,, ,,,,,,,
0106T,Touch quant sensory test,Q1,5732,0.4402,$39.25,.,$7.85,,,,,
0106U,Gstr emptg 7 timed brth spec,Q4,,, ,,,,,,,
0107T,Vibrate quant sensory test,Q1,5732,0.4402,$39.25,.,$7.85,,,,,
0107U,C diff tox ag detcj ia stool,Q4,,, ,,,,,,,
0108T,Cool quant sensory test,Q1,5733,0.6661,$59.40,.,$11.88,,,,,
0108U,Gi barrett esoph 9 prtn bmrk,A,,, ,,,,,,,
0109T,Heat quant sensory test,Q1,5732,0.4402,$39.25,.,$7.85,,,,,
0109U,Id aspergillus dna 4 species,Q4,,, ,,,,,,,
0110T,Nos quant sensory test,Q1,5734,1.4456,$128.90,.,$25.78,,,,,
0110U,Rx mntr 1+oral onc rx&sbsts,Q4,,, ,,,,,,,
01112,Anesth bone aspirate/bx,N,,, ,,,,,,,
0111U,Onc colon ca kras&nras alys,A,,, ,,,,,,,
01120,Anesth pelvis surgery,N,,, ,,,,,,,
0112U,Iadi 16s&18s rrna genes,A,,, ,,,,,,,
01130,Anesth body cast procedure,N,,, ,,,,,,,
0113U,Onc prst8 pca3&tmprss2-erg,A,,, ,,,,,,,
01140,Anesth amputation at pelvis,C,,, ,,,,,,,
0114U,Gi barretts esoph vim&ccna1,A,,, ,,,,,,,
01150,Anesth pelvic tumor surgery,C,,, ,,,,,,,
0115U,Respir iadna 18 viral&2 bact,Q4,,, ,,,,,,,
01160,Anesth pelvis procedure,N,,, ,,,,,,,
0116U,Rx mntr nzm ia 35+oral flu,Q4,,, ,,,,,,,
01170,Anesth pelvis surgery,N,,, ,,,,,,,
01173,Anesth fx repair pelvis,N,,, ,,,,,,,
0117U,Pain mgmt 11 endogenous anal,Q4,,, ,,,,,,,
0118U,Trnsplj don-drv cll-fr dna,A,,, ,,,,,,,
0119U,Crd ceramides liq chrom plsm,Q4,,, ,,,,,,,
01200,Anesth hip joint procedure,N,,, ,,,,,,,
01202,Anesth arthroscopy of hip,N,,, ,,,,,,,
0120U,Onc b cll lymphm mrna 58 gen,A,,, ,,,,,,,
01210,Anesth hip joint surgery,N,,, ,,,,,,,
01212,Anesth hip disarticulation,C,,, ,,,,,,,
01214,Anesth hip arthroplasty,N,,, ,,,,,,,
01215,Anesth revise hip repair,N,,, ,,,,,,,
0121U,Sc dis vcam-1 whole blood,Q4,,, ,,,,,,,
01220,Anesth procedure on femur,N,,, ,,,,,,,
0122U,Sc dis p-selectin whl blood,Q4,,, ,,,,,,,
01230,Anesth surgery of femur,N,,, ,,,,,,,
01232,Anesth amputation of femur,C,,, ,,,,,,,
01234,Anesth radical femur surg,C,,, ,,,,,,,
0123U,Mchnl fragility rbc prflg,Q4,,, ,,,,,,,
01250,Anesth upper leg surgery,N,,, ,,,,,,,
01260,Anesth upper leg veins surg,N,,, ,,,,,,,
01270,Anesth thigh arteries surg,N,,, ,,,,,,,
01272,Anesth femoral artery surg,C,,, ,,,,,,,
01274,Anesth femoral embolectomy,C,,, ,,,,,,,
0129U,Hered brst ca rltd do panel,A,,, ,,,,,,,
0130U,Hered colon ca do mrna pnl,A,,, ,,,,,,,
0131U,Hered brst ca rltd do pnl 13,A,,, ,,,,,,,
01320,Anesth knee area surgery,N,,, ,,,,,,,
0132U,Hered ova ca rltd do pnl 17,A,,, ,,,,,,,
0133U,Hered prst8 ca rltd do 11,A,,, ,,,,,,,
01340,Anesth knee area procedure,N,,, ,,,,,,,
0134U,Hered pan ca mrna pnl 18 gen,A,,, ,,,,,,,
0135U,Hered gyn ca mrna pnl 12 gen,A,,, ,,,,,,,
01360,Anesth knee area surgery,N,,, ,,,,,,,
0136U,Atm mrna seq alys,A,,, ,,,,,,,
0137U,Palb2 mrna seq alys,A,,, ,,,,,,,
01380,Anesth knee joint procedure,N,,, ,,,,,,,
01382,Anesth dx knee arthroscopy,N,,, ,,,,,,,
0138U,Brca1 brca2 mrna seq alys,A,,, ,,,,,,,
01390,Anesth knee area procedure,N,,, ,,,,,,,
01392,Anesth knee area surgery,N,,, ,,,,,,,
01400,Anesth knee joint surgery,N,,, ,,,,,,,
01402,Anesth knee arthroplasty,N,,, ,,,,,,,
01404,Anesth amputation at knee,C,,, ,,,,,,,
0140U,Nfct ds fungi dna 15 trgt,Q4,,, ,,,,,,,
0141U,Nfct ds bact&fng gram pos,Q4,,, ,,,,,,,
01420,Anesth knee joint casting,N,,, ,,,,,,,
0142U,Nfct ds bact&fng gram neg,Q4,,, ,,,,,,,
01430,Anesth knee veins surgery,N,,, ,,,,,,,
01432,Anesth knee vessel surg,N,,, ,,,,,,,
01440,Anesth knee arteries surg,N,,, ,,,,,,,
01442,Anesth knee artery surg,C,,, ,,,,,,,
01444,Anesth knee artery repair,C,,, ,,,,,,,
01462,Anesth lower leg procedure,N,,, ,,,,,,,
01464,Anesth ankle/ft arthroscopy,N,,, ,,,,,,,
01470,Anesth lower leg surgery,N,,, ,,,,,,,
01472,Anesth achilles tendon surg,N,,, ,,,,,,,
01474,Anesth lower leg surgery,N,,, ,,,,,,,
01480,Anesth lower leg bone surg,N,,, ,,,,,,,
01482,Anesth radical leg surgery,N,,, ,,,,,,,
01484,Anesth lower leg revision,N,,, ,,,,,,,
01486,Anesth ankle replacement,N,,, ,,,,,,,
01490,Anesth lower leg casting,N,,, ,,,,,,,
01500,Anesth leg arteries surg,N,,, ,,,,,,,
01502,Anesth lwr leg embolectomy,C,,, ,,,,,,,
01520,Anesth lower leg vein surg,N,,, ,,,,,,,
01522,Anesth lower leg vein surg,N,,, ,,,,,,,
0152U,Nfct ds dna untrgt ngnrj seq,Q4,,, ,,,,,,,
0153U,Onc breast mrna 101 genes,A,,, ,,,,,,,
0154U,Onc urthl ca rna fgfr3 gene,A,,, ,,,,,,,
0155U,Onc brst ca dna pik3ca gene,A,,, ,,,,,,,
0156U,Copy number sequence alys,A,,, ,,,,,,,
0157U,Apc mrna seq alys,A,,, ,,,,,,,
0158U,Mlh1 mrna seq alys,A,,, ,,,,,,,
0159U,Msh2 mrna seq alys,A,,, ,,,,,,,
0160U,Msh6 mrna seq alys,A,,, ,,,,,,,
01610,Anesth surgery of shoulder,N,,, ,,,,,,,
0161U,Pms2 mrna seq alys,A,,, ,,,,,,,
01620,Anesth shoulder procedure,N,,, ,,,,,,,
01622,Anes dx shoulder arthroscopy,N,,, ,,,,,,,
0162U,Hered colon ca trgt mrna pnl,A,,, ,,,,,,,
01630,Anesth surgery of shoulder,N,,, ,,,,,,,
01634,Anesth shoulder joint amput,C,,, ,,,,,,,
01636,Anesth forequarter amput,C,,, ,,,,,,,
01638,Anesth shoulder replacement,N,,, ,,,,,,,
0163U,Onc clrct scr 3 prtn alg,E1,,, ,,,,,,,
0164T,Remove lumb artif disc addl,C,,, ,,,,,,,
0164U,Gi ibs ia anti-cdtb&vinculin,Q4,,, ,,,,,,,
01650,Anesth shoulder artery surg,N,,, ,,,,,,,
01652,Anesth shoulder vessel surg,C,,, ,,,,,,,
01654,Anesth shoulder vessel surg,C,,, ,,,,,,,
01656,Anesth arm-leg vessel surg,C,,, ,,,,,,,
0165T,Revise lumb artif disc addl,C,,, ,,,,,,,
0165U,Peanut allg asmt epi,Q4,,, ,,,,,,,
0166U,Liver ds 10 biochem asy srm,Q4,,, ,,,,,,,
01670,Anesth shoulder vein surg,N,,, ,,,,,,,
01680,Anesth shoulder casting,N,,, ,,,,,,,
0169U,Nudt15&tpmt gene com vrnt,A,,, ,,,,,,,
0170U,Neuro asd rna next gen seq,A,,, ,,,,,,,
01710,Anesth elbow area surgery,N,,, ,,,,,,,
01712,Anesth uppr arm tendon surg,N,,, ,,,,,,,
01714,Anesth uppr arm tendon surg,N,,, ,,,,,,,
01716,Anesth biceps tendon repair,N,,, ,,,,,,,
0171U,Trgt gen seq alys pnl dna 23,A,,, ,,,,,,,
0172U,Onc sld tum alys brca1 brca2,A,,, ,,,,,,,
01730,Anesth uppr arm procedure,N,,, ,,,,,,,
01732,Anesth dx elbow arthroscopy,N,,, ,,,,,,,
0173U,Psyc gen alys panel 14 genes,A,,, ,,,,,,,
01740,Anesth upper arm surgery,N,,, ,,,,,,,
01742,Anesth humerus surgery,N,,, ,,,,,,,
01744,Anesth humerus repair,N,,, ,,,,,,,
0174T,Cad cxr with interp,N,,, ,,,,,,,
0174U,Onc solid tumor 30 prtn trgt,Q4,,, ,,,,,,,
01756,Anesth radical humerus surg,C,,, ,,,,,,,
01758,Anesth humeral lesion surg,N,,, ,,,,,,,
0175T,Cad cxr remote,N,,, ,,,,,,,
0175U,Psyc gen alys panel 15 genes,A,,, ,,,,,,,
01760,Anesth elbow replacement,N,,, ,,,,,,,
0176U,Cdtb&vinculin igg antb ia,Q4,,, ,,,,,,,
01770,Anesth uppr arm artery surg,N,,, ,,,,,,,
01772,Anesth uppr arm embolectomy,N,,, ,,,,,,,
0177U,Onc brst ca dna pik3ca 11,A,,, ,,,,,,,
01780,Anesth upper arm vein surg,N,,, ,,,,,,,
01782,Anesth uppr arm vein repair,N,,, ,,,,,,,
0178U,Peanut allg asmt epi clin rx,Q4,,, ,,,,,,,
0179U,Onc nonsm cll lng ca alys 23,A,,, ,,,,,,,
0180U,Abo gnotyp abo 7 exons,A,,, ,,,,,,,
01810,Anesth lower arm surgery,N,,, ,,,,,,,
0181U,Co gnotyp aqp1 exon 1,A,,, ,,,,,,,
01820,Anesth lower arm procedure,N,,, ,,,,,,,
01829,Anesth dx wrist arthroscopy,N,,, ,,,,,,,
0182U,Crom gnotyp cd55 exons 1-10,A,,, ,,,,,,,
01830,Anesth lower arm surgery,N,,, ,,,,,,,
01832,Anesth wrist replacement,N,,, ,,,,,,,
0183U,Di gnotyp slc4a1 exon 19,A,,, ,,,,,,,
01840,Anesth lwr arm artery surg,N,,, ,,,,,,,
01842,Anesth lwr arm embolectomy,N,,, ,,,,,,,
01844,Anesth vascular shunt surg,N,,, ,,,,,,,
0184T,Exc rectal tumor endoscopic,J1,5331,66.7587,"$5,952.81",.,"$1,190.57",,,,,
0184U,Do gnotyp art4 exon 2,A,,, ,,,,,,,
01850,Anesth lower arm vein surg,N,,, ,,,,,,,
01852,Anesth lwr arm vein repair,N,,, ,,,,,,,
