HCPCS Code,Description,NDC,Drug Name,Pkg Size,Pkg Qty,BUPP,Payment Limit,ASP,SI,Effective Start Date
A9573,"Inj, gadopiclenol, 1 ml",67684-4241-02,Elucirem,10.0,10,100.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",67684-4250-04,Elucirem,50.0,25,1250.0,3.298,3.111,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-01,Clariscan,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-02,Clariscan,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-05,Clariscan,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-06,Gadoterate Meglumine,5.0,10,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-12,Gadoterate Meglumine,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-17,Gadoterate Meglumine,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-22,Gadoterate Meglumine,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,00407-2943-70,Gadoterate Meglumine,100.0,10,10000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,65219-0080-05,Gadoterate Meglumine,5.0,10,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,65219-0082-10,Gadoterate Meglumine,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,65219-0084-15,Gadoterate Meglumine,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,65219-0086-20,Gadoterate Meglumine,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,65219-0088-50,Gadoterate Meglumine,100.0,6,6000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2000-00,Dotarem,5.0,10,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2000-01,Dotarem,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2000-05,Dotarem,10.0,5,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2000-06,Dotarem,15.0,5,750.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2001-00,Dotarem,5.0,10,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2001-01,Dotarem,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2001-02,Dotarem,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2001-03,Dotarem,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-2001-04,Dotarem,100.0,6,6000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-3001-01,Dotarem,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-3001-02,Dotarem,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,67684-3001-03,Dotarem,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,70436-0123-31,Gadoterate Meglumine,5.0,10,500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,70436-0123-33,Gadoterate Meglumine,10.0,10,1000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,70436-0123-34,Gadoterate Meglumine,15.0,10,1500.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,70436-0123-35,Gadoterate Meglumine,20.0,10,2000.0,0.103,0.097,N,2026-01-01
A9575,Inj gadoterate meglumi 0.1ml,70436-0123-56,Gadoterate Meglumine,100.0,6,6000.0,0.103,0.097,N,2026-01-01
A9576,Inj prohance multipack,00270-1111-70,Prohance Multipack,50.0,5,250.0,1.415,1.335,N,2026-01-01
A9577,Inj multihance,00270-5164-12,Multihance,5.0,5,25.0,1.799,1.697,N,2026-01-01
A9577,Inj multihance,00270-5164-13,Multihance,10.0,5,50.0,1.799,1.697,N,2026-01-01
A9577,Inj multihance,00270-5164-14,Multihance,15.0,5,75.0,1.799,1.697,N,2026-01-01
A9577,Inj multihance,00270-5164-15,Multihance,20.0,5,100.0,1.799,1.697,N,2026-01-01
A9578,Inj multihance multipack,00270-5264-16,Multihance Multipack,50.0,5,250.0,1.758,1.658,N,2026-01-01
A9578,Inj multihance multipack,00270-5264-17,Multihance Multipack,100.0,5,500.0,1.758,1.658,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00270-1111-01,Prohance,10.0,5,50.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00270-1111-02,Prohance,15.0,5,75.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00270-1111-03,Prohance,20.0,5,100.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00270-1111-04,Prohance,5.0,5,25.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00270-1111-85,Prohance,100.0,5,500.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-05,Omniscan,5.0,10,50.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-10,Omniscan,10.0,10,100.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-12,Omniscan,10.0,10,100.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-15,Omniscan,15.0,10,150.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-17,Omniscan,15.0,10,150.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-20,Omniscan,20.0,10,200.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-22,Omniscan,20.0,10,200.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",00407-0690-70,Omniscan,100.0,10,1000.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",70436-0121-31,Gadoteridol,5.0,5,25.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",70436-0121-33,Gadoteridol,10.0,5,50.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",70436-0121-34,Gadoteridol,15.0,5,75.0,1.462,1.379,N,2026-01-01
A9579,"Gad-base mr contrast nos,1ml",70436-0121-35,Gadoteridol,20.0,5,100.0,1.462,1.379,N,2026-01-01
A9581,Gadoxetate disodium inj,50419-0320-05,Gadoxetate Disodium,10.0,5,50.0,14.753,13.918,N,2026-01-01
A9581,Gadoxetate disodium inj,50419-0320-15,Eovist,15.0,5,75.0,14.753,13.918,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-11,Gadavist,7.5,20,1500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-12,Gadavist,10.0,20,2000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-13,Gadavist,15.0,20,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-14,Gadavist,30.0,10,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-15,Gadavist,65.0,10,6500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-18,Gadavist,30.0,10,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-19,Gadavist,65.0,10,6500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-27,Gadavist,7.5,5,375.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-28,Gadavist,10.0,5,500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-29,Gadavist,15.0,5,750.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,50419-0325-37,Gadavist,2.0,15,300.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0281-02,Gadobutrol,2.0,15,300.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0281-07,Gadobutrol,7.5,20,1500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0281-10,Gadobutrol,10.0,20,2000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0281-15,Gadobutrol,15.0,20,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0287-30,Gadobutrol,30.0,10,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,65219-0289-65,Gadobutrol,65.0,10,6500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,70436-0212-54,Gadobutrol,7.5,20,1500.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,70436-0212-80,Gadobutrol,7.5,1,75.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,70436-0214-54,Gadobutrol,15.0,20,3000.0,0.275,0.259,N,2026-01-01
A9585,Gadobutrol injection,70436-0214-80,Gadobutrol,15.0,1,150.0,0.275,0.259,N,2026-01-01
A9589,Insti hexaminolevulinate hcl,10511-3001-02,Cysview,1.0,1,1.0,1424.767,1344.12,N,2026-01-01
J0121,"Inj., omadacycline, 1 mg",71715-0001-02,Nuzyra,1.0,10,1000.0,4.137,3.903,K,2026-01-01
J0122,"Inj., eravacycline, 1 mg",71773-0050-12,Xerava,1.0,12,600.0,1.292,1.219,N,2026-01-01
J0122,"Inj., eravacycline, 1 mg",71773-0100-12,Xerava,1.0,12,1200.0,1.292,1.219,N,2026-01-01
J0129,Abatacept injection,00003-2187-13,Orencia,1.0,1,25.0,44.769,42.235,K,2026-01-01
J0129,Abatacept injection,00003-2188-11,Orencia,1.0,4,50.0,44.769,42.235,K,2026-01-01
J0129,Abatacept injection,00003-2188-51,Orencia,1.0,4,50.0,44.769,42.235,K,2026-01-01
J0129,Abatacept injection,00003-2814-11,Orencia,0.4,4,20.0,44.769,42.235,K,2026-01-01
J0129,Abatacept injection,00003-2818-11,Orencia,0.7,4,35.0,44.769,42.235,K,2026-01-01
J0131,"Inj, acetaminophen (nos)",00781-3156-95,Acetaminophen,100.0,10,1000.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",00781-9274-95,Acetaminophen,100.0,10,1000.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",24201-0100-24,Acetaminophen,100.0,24,2400.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",24201-0110-24,Acetaminophen,100.0,24,2400.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",36000-0306-60,Acetaminophen,100.0,40,4000.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",36000-0372-40,Acetaminophen,65.0,40,2600.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",51662-1540-01,Acetaminophen,100.0,1,100.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",51662-1540-03,Acetaminophen,100.0,24,2400.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",55150-0307-24,Acetaminophen,100.0,24,2400.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",67457-0940-10,Acetaminophen,100.0,24,2400.0,0.056,0.053,N,2026-01-01
J0131,"Inj, acetaminophen (nos)",72572-0050-10,Acetaminophen,100.0,10,1000.0,0.056,0.053,N,2026-01-01
J0132,Acetylcysteine injection,00574-0805-30,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,25021-0812-30,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,25021-0812-66,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,55150-0259-30,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,63323-0963-30,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,63323-0963-44,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,66220-0207-30,Acetadote,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,68462-0946-12,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,70069-0788-04,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,70594-0111-02,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0132,Acetylcysteine injection,72611-0860-04,Acetylcysteine,30.0,4,240.0,0.367,0.346,N,2026-01-01
J0133,Acyclovir injection,55150-0154-10,Acyclovir Sodium,10.0,10,1000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,55150-0155-20,Acyclovir Sodium,20.0,10,2000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,63323-0325-10,Acyclovir Sodium,20.0,10,1000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,63323-0325-14,Acyclovir Sodium,10.0,10,1000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,63323-0325-20,Acyclovir Sodium,20.0,10,2000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,63323-0325-24,Acyclovir Sodium,20.0,10,2000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,65219-0622-10,Acyclovir Sodium,10.0,10,1000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,65219-0624-20,Acyclovir Sodium,20.0,10,2000.0,0.119,0.112,N,2026-01-01
J0133,Acyclovir injection,70436-0030-82,Acyclovir Sodium,10.0,10,1000.0,0.119,0.112,N,2026-01-01
J0134,Inj acetaminophen -fresenius,63323-0434-00,Acetaminophen,100.0,20,2000.0,0.056,0.053,N,2026-01-01
J0136,"Inj, acetaminophen (b braun)",00264-4050-80,Acetaminophen,50.0,24,1200.0,0.051,0.048,N,2026-01-01
J0136,"Inj, acetaminophen (b braun)",00264-4050-90,Acetaminophen,50.0,24,1200.0,0.051,0.048,N,2026-01-01
J0136,"Inj, acetaminophen (b braun)",00264-4100-90,Acetaminophen,100.0,24,2400.0,0.051,0.048,N,2026-01-01
J0136,"Inj, acetaminophen (b braun)",25021-0705-82,Acetaminophen,50.0,10,500.0,0.051,0.048,N,2026-01-01
J0136,"Inj, acetaminophen (b braun)",25021-0705-87,Acetaminophen,100.0,20,2000.0,0.051,0.048,N,2026-01-01
J0137,"Inj, acetaminophen (hikma)",00143-9386-10,Acetaminophen,100.0,10,1000.0,0.053,0.05,N,2026-01-01
J0138,Inj acetaminoph 10mg/ibu 3mg,00143-9150-10,Combogesic,100.0,10,1000.0,0.092,0.087,G,2026-01-01
J0153,Adenosine inj 1mg,00404-9809-02,Adenosine,2.0,1,6.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,00404-9993-02,Adenosine,2.0,1,6.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,16714-0556-01,Adenosine,20.0,1,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,16714-0997-01,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,25021-0301-67,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,25021-0301-68,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,25021-0318-02,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,25021-0318-04,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,51662-1450-01,Adenosine,4.0,1,12.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,51662-1450-03,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,51662-1511-01,Adenosine,4.0,1,12.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,51662-1632-01,Adenosine,2.0,1,6.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,51662-1643-03,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,55150-0192-01,Adenosine,20.0,1,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,55150-0193-01,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-02,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-04,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-20,Adenosine,20.0,1,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-30,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-89,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,63323-0651-90,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0854-04,Adenosine,4.0,10,120.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0855-02,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0856-20,Adenosine,20.0,1,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0857-30,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0858-20,Adenosine,20.0,1,60.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,67457-0859-30,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,71288-0207-21,Adenosine,20.0,10,600.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,71288-0208-30,Adenosine,30.0,1,90.0,0.529,0.499,N,2026-01-01
J0153,Adenosine inj 1mg,72078-0033-02,Adenosine,2.0,10,60.0,0.529,0.499,N,2026-01-01
J0162,Inj epinephrine (fresenius),63323-0698-30,Epinephrine HCl,30.0,1,300.0,0.455,0.429,,2026-01-01
J0163,Epinephrine in nacl (endo),42023-0273-10,Adrenalin,250.0,10,200.0,0.878,0.828,N,2026-01-01
J0163,Epinephrine in nacl (endo),42023-0315-10,Adrenalin,250.0,10,400.0,0.878,0.828,N,2026-01-01
J0163,Epinephrine in nacl (endo),42023-0434-10,Adrenalin,250.0,10,500.0,0.878,0.828,N,2026-01-01
J0163,Epinephrine in nacl (endo),42023-0500-10,Adrenalin,250.0,10,800.0,0.878,0.828,N,2026-01-01
J0163,Epinephrine in nacl (endo),42023-0721-10,Adrenalin,250.0,10,1000.0,0.878,0.828,N,2026-01-01
J0164,Epinephrine in nacl (baxter),00338-0024-20,Epinephrine in 0.9% Sodium Chloride Injection,250.0,20,3200.0,0.941,0.888,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,00517-3030-01,Epinephrine HCl,30.0,1,300.0,0.433,0.408,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,42023-0168-01,Epinephrine HCl,30.0,1,300.0,0.433,0.408,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,42023-0168-89,Epinephrine HCl,30.0,1,300.0,0.433,0.408,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,42023-0168-99,Epinephrine HCl,30.0,1,300.0,0.433,0.408,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,50090-2058-00,Epinephrine HCl,10.0,10,100.0,0.433,0.408,N,2026-01-01
J0165,Inj epinephrine nos 0.1 mg,50090-5569-00,Epinephrine HCl,10.0,10,100.0,0.433,0.408,N,2026-01-01
J0166,Inj epinephrine (bpi),00404-9857-01,Epinephrine HCl,1.0,1,10.0,1.106,1.043,N,2026-01-01
J0166,Inj epinephrine (bpi),50090-3039-01,Epinephrine HCl,1.0,1,10.0,1.106,1.043,N,2026-01-01
J0166,Inj epinephrine (bpi),50090-3039-02,Epinephrine HCl,1.0,10,100.0,1.106,1.043,N,2026-01-01
J0166,Inj epinephrine (bpi),63323-0696-25,Epinephrine HCl,1.0,25,250.0,1.106,1.043,N,2026-01-01
J0166,Inj epinephrine (bpi),68462-0760-10,Epinephrine HCl,10.0,1,100.0,1.106,1.043,N,2026-01-01
J0166,Inj epinephrine (bpi),68462-0933-10,Epinephrine HCl,1.0,10,100.0,1.106,1.043,N,2026-01-01
J0167,Inj epinephrine (hospira),00409-4933-01,Epinephrine HCl,10.0,10,100.0,1.422,1.342,N,2026-01-01
J0167,Inj epinephrine (hospira),00409-4933-10,Epinephrine HCl,10.0,10,100.0,1.422,1.342,N,2026-01-01
J0167,Inj epinephrine (hospira),51662-1531-01,Epinephrine HCl,10.0,1,10.0,1.422,1.342,N,2026-01-01
J0168,Epinephrine (intl med sys),50090-7037-00,Epinephrine HCl,1.0,1,1.0,2.998,2.828,N,2026-01-01
J0168,Epinephrine (intl med sys),51662-1629-01,Epinephrine HCl,10.0,1,10.0,2.998,2.828,N,2026-01-01
J0168,Epinephrine (intl med sys),51662-1629-03,Epinephrine HCl,10.0,10,100.0,2.998,2.828,N,2026-01-01
J0169,Inj epinephrine (adrenalin),00404-9810-01,Adrenalin,1.0,1,10.0,1.383,1.305,N,2026-01-01
J0169,Inj epinephrine (adrenalin),42023-0159-25,Adrenalin,1.0,25,250.0,1.383,1.305,N,2026-01-01
J0169,Inj epinephrine (adrenalin),51662-1290-01,Epinephrine HCl,1.0,1,10.0,1.383,1.305,N,2026-01-01
J0169,Inj epinephrine (adrenalin),51662-1290-03,Epinephrine HCl,1.0,25,250.0,1.383,1.305,N,2026-01-01
J0174,"Inj, lecanemab-irmb, 1 mg",62856-0212-01,Leqembi,2.0,1,200.0,1.33,1.255,G,2026-01-01
J0174,"Inj, lecanemab-irmb, 1 mg",62856-0215-01,Leqembi,5.0,1,500.0,1.33,1.255,G,2026-01-01
J0175,"Inj, donanemab-azbt, 2 mg",00002-9401-01,Kisunla,20.0,1,175.0,4.166,3.93,G,2026-01-01
J0177,"Inj, aflibercept hd, 1 mg",61755-0050-01,Eylea HD,0.07,1,8.0,306.985,289.608,G,2026-01-01
