Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective January 1, 2026 through March 31, 2026",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q25 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.292,19.461,,,,,,Inflation-adjusted coinsurance,
J0129,Abatacept injection,10 MG,44.769,20.000,,,,,,"""lesser of"" methodology applied",
J0131,"Inj, acetaminophen (nos)",10 MG,0.056,20.000,,,,,,,
J0132,Acetylcysteine injection,100 MG,0.367,20.000,,,,,,,
J0133,Acyclovir injection,5 MG,0.119,20.000,,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.056,20.000,,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.051,20.000,,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.053,20.000,,,,,,,
J0138,Inj acetaminoph 10mg/ibu 3mg,10 MG/3MG,0.092,20.000,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.529,20.000,,,,,,,
J0162,Inj epinephrine (fresenius),0.1 MG,0.455,20.000,,,,,,Added January 2026,
J0163,Epinephrine in nacl (endo),0.1 MG,0.878,20.000,,,,,,,
J0164,Epinephrine in nacl (baxter),0.1 MG,0.941,20.000,,,,,,Added January 2026,
J0165,Inj epinephrine nos 0.1 mg,0.1 MG,0.433,20.000,,,,,,,
J0166,Inj epinephrine (bpi),0.1 MG,1.106,20.000,,,,,,,
J0167,Inj epinephrine (hospira),0.1 MG,1.422,20.000,,,,,,,
J0168,Epinephrine (intl med sys),0.1 MG,2.998,20.000,,,,,,,
J0169,Inj epinephrine (adrenalin),0.1 MG,1.383,20.000,,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.330,20.000,,,,,,,
J0175,"Inj, donanemab-azbt, 2 mg",2 MG,4.166,20.000,,,,,,,
J0177,"Inj, aflibercept hd, 1 mg",1 MG,306.985,20.000,,,,,,,
J0178,Aflibercept injection,1 MG,763.901,20.000,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,352.813,20.000,,,,,,,
J0180,Agalsidase beta injection,1 MG,230.319,20.000,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.713,20.000,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2447.102,20.000,,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,4.403,20.000,,,,,,,
J0217,Inj velmanase alfa-tycv 1 mg,1 MG,465.234,19.262,,,,,,Inflation-adjusted coinsurance,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,395.520,20.000,,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,81.296,20.000,,,,,,,
J0221,Lumizyme injection,10 MG,207.385,20.000,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,99.973,20.000,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,120.685,20.000,,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,328.024,20.000,,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,5009.558,20.000,,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.898,18.363,,,,,,Inflation-adjusted coinsurance,
J0256,Alpha 1 proteinase inhibitor,10 MG,5.372,20.000,,,,,,,
J0257,Glassia injection,10 MG,5.693,20.000,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.621,20.000,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,10.407,20.000,,,,,,,
J0281,Inj aminocaproic acid 1 gram,1 GM,1.594,20.000,,,,,,,
J0282,Amiodarone hcl,30 MG,0.409,20.000,,,,,,,
J0283,"Inj, amiodarone (nexterone)",30 MG,2.529,12.189,,,,,,Inflation-adjusted coinsurance,
J0285,Amphotericin b,50 MG,43.291,20.000,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,20.721,20.000,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.591,20.000,,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.510,20.000,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,1.329,20.000,,,,,,,
J0348,Anidulafungin injection,1 MG,0.510,20.000,,,,,,,
J0349,"Inj, rezafungin, 1 mg",1 MG,10.815,19.660,,,,,,Inflation-adjusted coinsurance,
J0360,Hydralazine hcl injection,20 MG,4.388,20.000,,,,,,,
J0401,"Inj, abilify maintena, 1 mg",1 MG,7.275,20.000,,,,,,,
J0402,"Inj, abilify asimtufii, 1 mg",1 MG,6.020,20.000,,,,,,,
J0456,Azithromycin,500 MG,2.044,20.000,,,,,,,
J0457,"Injection, aztreonam, 100 mg",100 MG,2.233,20.000,,,,,,,
J0458,Aztreonam/avibactam 10 mg,10 MG,1.678,20.000,,,,,,Added January 2026,
J0461,Atropine sulfate injection,0.01 MG,0.104,20.000,,,,,,,
J0462,"Atropine sulf, nte, 0.01 mg",0.01 MG,0.133,20.000,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,181.466,20.000,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,59.514,20.000,,,,,,,
J0480,Basiliximab,20 MG,4781.073,20.000,,,,,,,
J0485,Belatacept injection,1 MG,3.892,20.000,,,,,,,
J0490,Belimumab injection,10 MG,57.156,20.000,,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,18.338,20.000,,,,,,,
J0500,Dicyclomine injection,20 MG,11.327,20.000,,,,,,,
J0515,Inj benztropine mesylate,1 MG,13.815,20.000,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,163.965,20.000,,,,,,"""lesser of"" methodology applied",
J0558,Peng benzathine/procaine inj,"100,000 UNITS",19.523,15.234,,,,,,Inflation-adjusted coinsurance,
J0561,Penicillin g benzathine inj,"100,000 UNITS",31.965,11.741,,,,,,Inflation-adjusted coinsurance,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.825,20.000,,,,,,,
J0577,"Inj, brixadi, 7 days or less",Less than or equal to 7 days of therapy ,420.053,20.000,,,,,,,
J0578,"Inj brixadi, more than 7 day",Greater than 7 days and up to 28 days of therapy ,1680.211,20.000,,,,,,,
J0582,Bivalirudin (endo) 1 mg,1 MG,0.143,20.000,,,,,,,
J0583,Bivalirudin,1 MG,0.157,20.000,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,498.017,18.302,,,,,,Inflation-adjusted coinsurance,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.510,20.000,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.799,20.000,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,13.289,20.000,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.254,20.000,,,,,,,
J0589,Inj daxibotulinumtoxina-lanm,1 UNIT,3.114,20.000,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.212,20.000,,,,,,,
J0593,"Inj., lanadelumab-flyo, 1 mg",1 mg,87.190,20.000,,,,,,,
J0594,Busulfan injection,1 MG,0.892,20.000,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,5.544,20.000,,,,,,,
J0596,"Injection, ruconest",10 UNITS,36.778,20.000,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,75.860,18.720,,,,,,Inflation-adjusted coinsurance,
J0598,"C-1 esterase, cinryze",10 UNITS,65.630,20.000,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,6209.677,20.000,,,,,,,
J0612,"Inj, calcium gluconate, nos",10 MG,0.030,20.000,,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.087,20.000,,,,,,,
J0614,"Inj, treosulfan, 50 mg",50 MG,31.207,20.000,,,,,,,
J0616,Inj metoprolol tartrate 1 mg,1 MG,0.119,20.000,,,,,,,
J0637,Caspofungin acetate,5 MG,3.818,20.000,,,,,,,
J0638,Canakinumab injection,1 MG,147.741,19.297,,,,,,Inflation-adjusted coinsurance,
J0640,Leucovorin calcium injection,50 MG,3.840,20.000,,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.048,20.000,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.411,20.000,,,,,,,
J0650,"Inj, levothyroxine nos 10mcg",10 MCG,5.983,20.000,,,,,,,
J0651,"Inj, levothyroxine, freskabi",10 MCG,6.936,20.000,,,,,,,
J0652,"Inj, levothyroxine, hikma",10 MCG,7.686,20.000,,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.011,20.000,,,,,,,
J0666,"Inj, bupivacaine liposome",1 MG,1.438,20.000,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.750,20.000,,,,,,,
J0687,Inj cefazolin (wg crit care),500 MG,0.879,20.000,,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,0.875,20.000,,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.272,20.000,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.827,20.000,,,,,,,
J0692,Cefepime hcl for injection,500 MG,0.866,20.000,,,,,,AMP-based payment limit,
J0694,Cefoxitin sodium injection,1 GM,4.742,20.000,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),8.947,18.322,,,,,,Inflation-adjusted coinsurance,
J0696,Ceftriaxone sodium injection,250 MG,0.462,20.000,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.054,20.000,,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.419,20.000,,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.970,20.000,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.908,20.000,,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,4.954,20.000,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,4.239,20.000,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.468,20.000,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,104.709,20.000,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,3.867,20.000,,,,,,"""lesser of"" methodology applied",
J0725,Chorionic gonadotropin/1000u,1000 UNITS,15.400,20.000,,,,,,,
J0735,Clonidine hydrochloride,1 MG,17.228,20.000,,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,1.913,20.000,,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,2.346,20.000,,,,,,,
J0738,"Hiv prep, inj, lenacapavir",1 MG,16.133,0.000,,,,,,HIV PrEP drug,
J0739,"Hiv prep, inj, cabotegravir",1 mg,7.147,0.000,,,,,,HIV PrEP drug,
J0740,Cidofovir injection,375 MG,524.483,20.000,,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,24.164,20.000,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.600,20.000,,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.101,20.000,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.997,20.000,,,,,,,
J0750,"Hiv prep, ftc/tdf 200/300mg",200 mg/300 mg,1.342,0.000,,,,,,HIV PrEP drug,
J0751,"Hiv prep, ftc/taf 200/25mg",200 mg/25 mg,71.327,0.000,,,,,,HIV PrEP drug,
J0752,"Hiv prep, oral lenacapavir",300 MG,623.148,0.000,,,,,,HIV PrEP drug,
J0770,Colistimethate sodium inj,150 MG,12.080,20.000,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,75.745,17.740,,,,,,Inflation-adjusted coinsurance,
J0780,Prochlorperazine injection,10 MG,2.521,20.000,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,129.593,20.000,,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,4172.530,20.000,,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3551.739,20.000,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,20.652,20.000,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1826.518,20.000,,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,4925.160,6.346,,,,,,Inflation-adjusted coinsurance,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1808.329,20.000,,,,,,,
J0870,"Injection, imetelstat, 1 mg",1 MG,58.302,19.541,,,,,,Inflation-adjusted coinsurance,
J0872,Daptomycin (xellia) unrefrig,1 MG,0.057,20.000,,,,,,,
J0873,Inj daptomycin (xellia),1 MG,0.026,20.000,,,,,,,
J0874,"Inj, daptomycin (baxter)",1 MG,0.059,20.000,,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.589,20.000,,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.056,20.000,,,,,,,
J0878,Daptomycin injection,1 MG,0.028,20.000,,,,,,AMP-based payment limit,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.021,20.000,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.021,20.000,,,,,,,
J0883,Argatroban nonesrd use 1mg,1 MG,0.609,20.000,,,,,,,
J0884,Argatroban esrd dialysis 1mg,1 MG,0.609,20.000,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,7.743,20.000,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.215,20.000,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.215,20.000,,,,,,,
J0893,"Inj, decitabine (sun pharma)",1 MG,0.777,20.000,,,,,,,
J0894,Decitabine injection,1 MG,0.648,20.000,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.468,20.000,,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,42.773,20.000,,,,,,,
J0897,Denosumab injection,1 MG,29.457,17.585,,,,,,Inflation-adjusted coinsurance,
J0898,Argatroban nonesrd (auromed),1 MG,1.453,20.000,,,,,,,
J0899,"Argatroban dialysis, auromed",1 MG,1.453,20.000,,,,,,,
J0901,Vadadustat oral 1mg for esrd,1 MG,0.143,20.000,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,51.816,20.000,,,,,,,
J1010,"Inj, methylpred acetate 1 mg",1 MG,0.120,20.000,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.027,20.000,,,,,,,
J1072,"Inj, testosterone, azmiro",1 MG,1.325,20.000,,,,,,,
J1096,Dexametha opth insert 0.1 mg,0.1 MG,98.657,20.000,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.105,20.000,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,57.082,20.000,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,25.594,20.000,,,,,,,
J1160,Digoxin injection,0.5 MG,9.574,20.000,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,5166.991,19.734,,,,,,Inflation-adjusted coinsurance,
J1163,"Inj, diltiazem hcl, 0.5 mg",0.5 MG,0.030,20.000,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.595,20.000,,,,,,,
J1171,"Inj, hydromorphone, 0.1 mg",0.1 MG,0.140,20.000,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,58.013,20.000,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.713,20.000,,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,17.092,20.000,,,,,,,
J1203,"Inj, cipaglucosidase, 5 mg",5 MG,91.203,20.000,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,58.126,20.000,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,749.232,20.000,,,,,,,
J1230,Methadone injection,10 MG,17.700,20.000,,,,,,,
J1240,Dimenhydrinate injection,50 MG,0.916,20.000,,,,,,,
J1245,Dipyridamole injection,10 MG,8.410,20.000,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,8.024,20.000,,,,,,,
J1265,Dopamine injection,40 MG,0.802,20.000,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.313,20.000,,,,,,,
J1271,Inj doxycycline hyclate 1 mg,1 MG,0.102,20.000,,,,,,,
J1290,Ecallantide injection,1 MG,579.746,20.000,,,,,,,
J1299,"Inj, eculizumab, 2 mg",2 MG,45.028,20.000,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,17.470,20.000,,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,19.028,19.974,,,,,,Inflation-adjusted coinsurance,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,224.804,20.000,,,,,,,
J1304,Inj tofersen intrathec 1 mg,1 MG,160.009,19.924,,,,,,Inflation-adjusted coinsurance,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,197.166,20.000,,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.690,20.000,,,,,,,
J1307,"Inj, crovalimab-akkz, 10 mg",10 MG,551.512,20.000,,,,,,Added January 2026,
J1308,"Inj, famotidine, 0.25 mg",0.25 MG,0.009,20.000,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,311.940,19.805,,,,,,Inflation-adjusted coinsurance,
J1323,"Inj, elranatamab-bcmm, 1 mg",1 MG,188.520,20.000,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.654,20.000,,,,,,,
J1326,"Inj, zolbetuximab-clzb, 2 mg",2 MG,33.666,20.000,,,,,,,
J1335,Ertapenem injection,500 MG,9.160,20.000,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,20.159,20.000,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,7.446,20.000,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,391.761,20.000,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,517.078,20.000,,,,,,,
J1434,"Inj, focinvez, 1mg",1 MG,2.630,20.000,,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,22.829,20.000,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.115,20.000,,,,,,,
J1440,Fecal microbiota jslm 1 ml,1 ML,64.625,20.000,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.997,20.000,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.249,20.000,,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.422,20.000,,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,23.550,20.000,,,,,,,
J1450,Fluconazole,200 MG,4.480,20.000,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.105,20.000,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,546.932,20.000,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,6.710,20.000,,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,0.639,12.833,,,,,,Inflation-adjusted coinsurance,
J1458,Galsulfase injection,1 MG,513.860,19.781,,,,,,Inflation-adjusted coinsurance,
J1459,Inj ivig privigen 500 mg,500 MG,50.281,20.000,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,49.923,20.000,,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.823,20.000,,,,,,,
J1552,"Inj, alyglo, 500 mg",500 MG,123.841,20.000,,,,,,,
J1554,Inj. asceniv,500 MG,490.457,20.000,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,17.262,20.000,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,79.645,20.000,,,,,,,
J1557,Gammaplex injection,500 MG,63.931,20.000,,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,15.056,20.000,,,,,,,
J1559,Hizentra injection,100 MG,14.543,19.078,,,,,,Inflation-adjusted coinsurance,
J1560,Gamma globulin > 10 cc inj,10 CC,104.520,20.000,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,49.076,20.000,,,,,,,
J1566,"Immune globulin, powder",500 MG,78.892,20.000,,,,,,,
J1568,Octagam injection,500 MG,47.385,20.000,,,,,,,
J1569,Gammagard liquid injection,500 MG,47.288,20.000,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,33.522,20.000,,,,,,,
J1571,Hepagam b im injection,0.5 ML,69.585,20.000,,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,69.585,20.000,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,18.325,19.994,,,,,,Inflation-adjusted coinsurance,
J1576,"Inj, panzyga, 500 mg",500 MG,71.223,19.150,,,,,,Inflation-adjusted coinsurance,
J1580,Garamycin gentamicin inj,80 MG,2.166,20.000,,,,,,,
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.375,20.000,,,,,,,
J1597,"Inj glycopyrrolate, glyrx-pf",0.1 MG,1.276,20.000,,,,,,Added January 2026,
J1598,Inj glycopyrrolate fres kabi,0.1 MG,1.342,20.000,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,11.631,20.000,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,164.863,20.000,,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,143.254,20.000,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.146,20.000,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,4.298,20.000,,,,,,,
J1628,"Inj., guselkumab, 1 mg",1 MG,72.937,20.000,,,,,,,
J1630,Haloperidol injection,5 MG,0.730,20.000,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,3.939,20.000,,,,,,,
J1640,"Hemin, 1 mg",1 MG,35.309,18.498,,,,,,Inflation-adjusted coinsurance,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.018,20.000,,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,2.101,20.000,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.179,20.000,,,,,,,
