Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective January 1, 2024 through March 31, 2024",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q23 ASP data.,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,22.350,0.000,95,22.350,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,10.439,0.000,95,10.439,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,20.878,0.000,95,20.878,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,77.359,0.000,95,77.359,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,30.344,20.000,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,38.305,20.000,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,160.284,0.000,95,160.284,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,152.124,0.000,95,152.124,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,30.770,0.000,95,30.770,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,0.000,95,70.376,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,0.000,95,140.752,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,32.374,0.000,95,32.374,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,148.200,0.000,95,148.200,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91318,SARSCOV2 VAC 3MCG TRS-SUC IM,0.3 ML,65.550,0.000,95,65.550,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,87.780,0.000,95,87.780,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,131.100,0.000,95,131.100,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,145.920,0.000,95,145.920,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,145.920,0.000,95,145.920,,,,See COVID-19 vaccine pricing webpage for payment effective dates
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.120,20.000,,,,,,
A9576,Inj prohance multipack,1 ML,1.525,20.000,,,,,,
A9577,Inj multihance,1 ML,1.841,20.000,,,,,,
A9578,Inj multihance multipack,1 ML,1.772,20.000,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.518,20.000,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.741,20.000,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.344,20.000,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1321.841,20.000,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $187.440
microCurie 100% WAC = $156.200"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.658,20.000,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.128,20.000,,,,,,
J0129,Abatacept injection,10 MG,43.163,20.000,,,,,,"""lesser of"" methodology applied"
J0131,"Inj, acetaminophen (nos)",10 MG,0.046,20.000,,,,,,
J0132,Acetylcysteine injection,100 MG,0.704,20.000,,,,,,
J0133,Acyclovir injection,5 MG,0.056,20.000,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.047,20.000,,,,,,AMP-based payment limit
J0136,"Inj, acetaminophen (b braun)",10 MG,0.056,20.000,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.051,20.000,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.601,20.000,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.748,20.000,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,
J0173,"Inj, epinephrine (belcher)",0.1 MG,1.790,20.000,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.346,20.000,,,,,,
J0178,Aflibercept injection,1 MG,862.280,20.000,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,325.240,20.000,,,,,,
J0180,Agalsidase beta injection,1 MG,218.341,20.000,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.729,20.000,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2324.344,20.000,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,5.553,20.000,,,,,,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,376.965,20.000,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,76.017,20.000,,,,,,
J0221,Lumizyme injection,10 MG,197.278,20.000,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,99.979,20.000,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,112.080,20.000,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,319.555,20.000,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4947.383,20.000,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.058,20.000,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.883,20.000,,,,,,
J0257,Glassia injection,10 MG,5.353,20.000,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.829,20.000,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,5.132,20.000,,,,,,
J0285,Amphotericin b,50 MG,9.536,20.000,,,,,,
J0289,Amphotericin b liposome inj,10 MG,26.658,20.000,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,1.011,20.000,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.599,19.775,,,,,,Inflation-adjusted coinsurance
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,1.769,20.000,,,,,,
J0348,Anidulafungin injection,1 MG,0.460,20.000,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.587,20.000,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,6.809,20.000,,,,,,
J0402,"Inj, abilify asimtufii, 1 mg",1 MG,5.884,20.000,,,,,,Added January 2024
J0456,Azithromycin,500 MG,2.600,20.000,,,,,,
J0457,"Injection, aztreonam, 100 mg",100 MG,2.539,20.000,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.076,20.000,,,,,,
J0475,Baclofen 10 mg injection,10 MG,177.804,20.000,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,37.444,20.000,,,,,,
J0480,Basiliximab,20 MG,4476.265,20.000,,,,,,
J0485,Belatacept injection,1 MG,3.874,20.000,,,,,,
J0490,Belimumab injection,10 MG,51.998,20.000,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,17.180,20.000,,,,,,
J0500,Dicyclomine injection,20 MG,24.965,20.000,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.435,20.000,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,169.501,20.000,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",17.578,16.010,,,,,,Inflation-adjusted coinsurance
J0561,Penicillin g benzathine inj,"100,000 UNITS",21.730,16.342,,,,,,Inflation-adjusted coinsurance
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.858,20.000,,,,,,
J0583,Bivalirudin,1 MG,0.214,20.000,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,443.503,19.448,,,,,,Inflation-adjusted coinsurance
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.327,20.000,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.243,20.000,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,13.026,20.000,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.186,20.000,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.126,20.000,,,,,,
J0594,Busulfan injection,1 MG,1.414,20.000,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.798,20.000,,,,,,
J0596,"Injection, ruconest",10 UNITS,33.507,20.000,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,64.356,20.000,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,62.556,20.000,,,,,,
J0612,Calcium glucon (fresenius),10 MG,0.050,20.000,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.089,20.000,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,1069.499,20.000,,,,,,
J0637,Caspofungin acetate,5 MG,5.427,20.000,,,,,,
J0638,Canakinumab injection,1 MG,124.326,20.000,,,,,,
J0640,Leucovorin calcium injection,50 MG,4.470,20.000,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.068,20.000,,,,,,Added January 2024
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.530,20.000,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.014,20.000,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.290,20.000,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,1.042,20.000,,,,,,Added January 2024
J0689,"Inj cefazolin sodium, baxter",500 MG,1.228,20.000,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.763,20.000,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.262,20.000,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.079,20.000,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),7.370,20.000,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.491,20.000,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.026,20.000,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.173,20.000,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.637,7.832,,,,,,Inflation-adjusted coinsurance
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.816,20.000,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,5.268,8.381,,,,,,Inflation-adjusted coinsurance
J0712,Ceftaroline fosamil inj,10 MG,3.835,20.000,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.694,20.000,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,95.449,20.000,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,4.816,20.000,,,,,,"""lesser of"" methodology applied"
J0725,Chorionic gonadotropin/1000u,1000 UNITS,23.174,20.000,,,,,,
J0735,Clonidine hydrochloride,1 MG,19.267,20.000,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,1.904,20.000,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,1.751,20.000,,,,,,
J0740,Cidofovir injection,375 MG,554.192,20.000,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,22.597,20.000,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.462,20.000,,,,,,
J0743,Cilastatin sodium injection,250 MG,8.103,20.000,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.933,20.000,,,,,,
J0770,Colistimethate sodium inj,150 MG,13.916,20.000,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,66.269,19.187,,,,,,Inflation-adjusted coinsurance
J0780,Prochlorperazine injection,10 MG,3.429,20.000,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,127.102,20.000,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,4095.318,20.000,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3449.079,20.000,,,,,,Added January 2024
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,27.114,20.000,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1949.917,20.000,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,912.076,20.000,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1807.872,19.659,,,,,,Inflation-adjusted coinsurance
J0873,"Inj, daptomycin (xellia)",1 MG,0.050,20.000,,,,,,Added January 2024
J0875,"Injection, dalbavancin",5 MG,15.293,20.000,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.065,20.000,,,,,,
J0878,Daptomycin injection,1 MG,0.038,20.000,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.930,20.000,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.930,20.000,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,8.886,20.000,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.618,20.000,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.618,20.000,,,,,,
J0891,Argatroban nonesrd (accord),1 MG,1.821,20.000,,,,,,
J0892,Argatroban dialysis (accord),1 MG,1.821,20.000,,,,,,
J0893,"Inj, decitabine (sun pharma)",1 MG,0.777,20.000,,,,,,
J0894,Decitabine injection,1 MG,1.694,20.000,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.597,20.000,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,39.971,20.000,,,,,,
J0897,Denosumab injection,1 MG,25.198,19.453,,,,,,Inflation-adjusted coinsurance
J1000,Depo-estradiol cypionate inj,5 MG,35.754,20.000,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,7.038,20.000,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,6.419,20.000,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,9.803,20.000,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.027,20.000,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.119,20.000,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,42.341,20.000,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,28.119,20.000,,,,,,
J1160,Digoxin injection,0.5 MG,9.408,20.000,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,4777.441,20.000,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.630,20.000,,,,,,
J1170,Hydromorphone injection,4 MG,4.591,20.000,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,108.006,20.000,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.804,20.000,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,15.073,20.000,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,121.346,20.000,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,680.820,20.000,,,,,,
J1230,Methadone injection,10 MG,19.671,20.000,,,,,,
J1240,Dimenhydrinate injection,50 MG,8.951,20.000,,,,,,
J1245,Dipyridamole injection,10 MG,3.718,20.000,,,,,,
J1246,"Inj, dinutuximab, 0.1 mg",0.1 MG,93.612,20.000,,,,,,Added January 2024
J1250,Inj dobutamine hcl/250 mg,250 MG,9.848,20.000,,,,,,
J1265,Dopamine injection,40 MG,0.772,20.000,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.378,20.000,,,,,,
J1290,Ecallantide injection,1 MG,539.327,20.000,,,,,,
J1300,Eculizumab injection,10 MG,225.685,20.000,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,21.815,20.000,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,17.766,20.000,,,,,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,221.773,20.000,,,,,,
J1304,Inj tofersen intrathec 1 mg,1 MG,150.838,20.000,,,,,,Added January 2024
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,179.140,20.000,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.134,20.000,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,280.909,20.000,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.962,20.000,,,,,,
J1335,Ertapenem injection,500 MG,12.965,20.000,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,80.775,20.000,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,9.236,20.000,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,372.146,20.000,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,473.933,20.000,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,18.863,20.000,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.147,20.000,,,,,,
J1440,Fecal microbiota jslm 1 ml,1 ML,62.984,20.000,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.985,20.000,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.439,20.000,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.201,20.000,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,29.679,20.000,,,,,,
J1450,Fluconazole,200 MG,2.797,20.000,,,,,,
J1453,Fosaprepitant injection,1 MG,0.138,20.000,,,,,,AMP-based payment limit
J1454,"Inj fosnetupitant, palonoset",0.25 MG,173.545,20.000,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,0.441,17.596,,,,,,Inflation-adjusted coinsurance
J1458,Galsulfase injection,1 MG,462.992,20.000,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,48.290,20.000,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,50.726,19.987,,,,,,Inflation-adjusted coinsurance
J1551,Inj cutaquig 100 mg,100 MG,13.888,20.000,,,,,,
J1554,Inj. asceniv,500 MG,491.405,20.000,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,15.922,20.000,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,72.962,20.000,,,,,,
J1557,Gammaplex injection,500 MG,55.153,20.000,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,14.183,20.000,,,,,,
J1559,Hizentra injection,100 MG,12.945,20.000,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,507.258,19.987,,,,,,Inflation-adjusted coinsurance
J1561,Gamunex-c/gammaked,500 MG,49.786,20.000,,,,,,
J1566,"Immune globulin, powder",500 MG,78.500,20.000,,,,,,
J1568,Octagam injection,500 MG,44.978,20.000,,,,,,
J1569,Gammagard liquid injection,500 MG,44.152,20.000,,,,,,
J1570,Ganciclovir sodium injection,500 MG,44.922,20.000,,,,,,
J1571,Hepagam b im injection,0.5 ML,59.619,20.000,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,17.085,20.000,,,,,,
J1576,"Inj, panzyga, 500 mg",500 MG,66.441,20.000,,,,,,
J1580,Garamycin gentamicin inj,80 MG,2.685,20.000,,,,,,
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.616,20.000,,,,,,Added January 2024
J1602,Golimumab for iv use 1mg,1 MG,12.341,20.000,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,188.367,20.000,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,123.830,20.000,,,,,,AMP-based payment limit
J1626,Granisetron hcl injection,100 MCG,0.381,20.000,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,5.674,20.000,,,,,,
J1630,Haloperidol injection,5 MG,1.416,20.000,,,,,,
J1631,Haloperidol decanoate inj,50 MG,8.777,20.000,,,,,,
J1640,"Hemin, 1 mg",1 MG,31.348,19.715,,,,,,Inflation-adjusted coinsurance
J1642,Inj heparin sodium per 10 u,10 UNITS,0.016,20.000,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,4.580,20.000,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.268,20.000,,,,,,
J1645,Dalteparin sodium,2500 IU,17.399,11.594,,,,,,Inflation-adjusted coinsurance
J1650,Inj enoxaparin sodium,10 MG,0.680,20.000,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.093,20.000,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,578.613,19.547,,,,,,Inflation-adjusted coinsurance
J1720,Hydrocortisone sodium succ i,100 MG,17.845,20.000,,,,,,
J1740,Ibandronate sodium injection,1 MG,25.596,20.000,,,,,,
J1743,Idursulfase injection,1 MG,542.917,20.000,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,32.161,20.000,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,74.624,20.000,,,,,,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,60.223,20.000,,,,,,
J1750,Inj iron dextran,50 MG,17.324,20.000,,,,,,
J1756,Iron sucrose injection,1 MG,0.221,20.000,,,,,,
J1786,Imuglucerase injection,10 UNITS,44.023,20.000,,,,,,
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.260,20.000,,,,,,
J1806,Inj esmolol hcl wg crit care,10 MG,0.453,20.000,,,,,,
J1811,Fiasp for insulin pump use,50 UNITS,6.798,20.000,,,,,,
J1813,Lyumjev for insulin pump use,50 UNITS,15.573,20.000,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,7.959,20.000,,,,,,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,473.513,20.000,,,,,,
J1836,"Inj, metronidazole, 10 mg",10 MG,0.024,20.000,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.488,20.000,,,,,,
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.186,20.000,,,,,,
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,2.556,20.000,,,,,,
J1930,Lanreotide injection,1 MG,48.443,20.000,,,,,,
J1931,Laronidase injection,0.1 MG,37.441,20.000,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,48.777,20.000,,,,,,
J1939,"Inj, bumetanide, 0.5 mg",0.5 MG,0.665,20.000,,,,,,Added January 2024
J1940,Furosemide injection,20 MG,0.573,20.000,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,3.091,20.000,,,,,,
J1944,Aripiprazole lauroxil 1 mg,1 MG,3.109,20.000,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1564.604,19.532,,,,,,Inflation-adjusted coinsurance
J1951,Inj fensolvi 0.25 mg,0.25 MG,131.824,20.000,,,,,,
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,59.800,20.000,,,,,,
J1953,Levetiracetam injection,10 MG,0.063,20.000,,,,,,
J1954,Leuprolide depot cipla 7.5mg,7.5 MG,355.279,20.000,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,35.321,20.000,,,,,,
J1956,Levofloxacin injection,250 MG,0.908,20.000,,,,,,
J1961,"Inj, lenacapavir, 1 mg",1 MG,21.933,20.000,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,35.464,20.000,,,,,,
J2001,Lidocaine injection,10 MG,0.027,20.000,,,,,,
J2010,Lincomycin injection,300 MG,9.844,20.000,,,,,,
J2020,Linezolid injection,200 MG,3.298,20.000,,,,,,
J2021,"Inj, linezolid (hospira)",200 MG,20.061,20.000,,,,,,
J2060,Lorazepam injection,2 MG,1.122,20.000,,,,,,
J2150,Mannitol injection,50 ML,2.595,20.000,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,7.299,20.000,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,30.505,20.000,,,,,,
J2184,"Inj, meropenem (b. braun)",100 MG,2.113,9.059,,,,,,Inflation-adjusted coinsurance
J2185,Meropenem,100 MG,0.452,20.000,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,19.603,20.000,,,,,,
J2247,"Inj, micafungin (par pharm)",1 MG,0.337,20.000,,,,,,
J2248,Micafungin sodium injection,1 MG,0.757,20.000,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.142,20.000,,,,,,
J2251,Inj midazolam (wg crit care),1 MG,0.284,20.000,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.562,20.000,,,,,,
J2270,Morphine sulfate injection,10 MG,4.665,20.000,,,,,,
J2272,"Inj, morphine (fresenius)",10 MG,7.434,20.000,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,11.244,20.000,,,,,,
J2278,Ziconotide injection,1 MCG,9.040,20.000,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.426,20.000,,,,,,
J2281,Inj moxifloxacin (fres kabi),100 MG,5.806,20.000,,,,,,AMP-based payment limit
J2300,Inj nalbuphine hydrochloride,10 MG,2.811,20.000,,,,,,
J2305,"Inj, nitroglycerin, 5 mg",5 MG,1.286,20.000,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,7.288,20.000,,,,,,
J2311,"Inj, naloxone hcl (zimhi)",1 MG,5.759,20.000,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.959,20.000,,,,,,
J2323,Natalizumab injection,1 MG,24.452,20.000,,,,,,
J2327,Inj risankizumab-rzaa 1 mg,1 MG,15.363,20.000,,,,,,
