Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective April 1, 2025 through June 30, 2025",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q24 ASP data.,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90662,Iiv no prsv increased ag im,0.5 ML,83.492,0.000,95,83.492,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,
90671,PCV15 vaccine IM,1 EA,261.146,0.000,95,261.146,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,83.492,0.000,95,83.492,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,317.673,20.000,,,,,,
90677,Pcv20 vaccine im,0.5 ML,312.902,0.000,95,312.902,,,,
90684,PCV21 VACCINE IM,0.5 ML,327.893,0.000,95,327.893,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,33.960,20.000,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,39.070,20.000,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,177.555,0.000,95,177.555,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,164.422,0.000,95,164.422,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,31.671,0.000,95,31.671,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,0.000,95,70.376,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,0.000,95,140.752,,,,
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,161.538,0.000,95,161.538,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91318,SARSCOV2 VAC 3MCG TRS-SUC IM,0.3 ML,65.550,0.000,95,65.550,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,87.780,0.000,95,87.780,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,155.895,0.000,95,155.895,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,147.060,0.000,95,147.060,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,161.652,0.000,95,161.652,,,,See COVID-19 vaccine pricing webpage for payment effective dates
A9573,"Inj, gadopiclenol, 1 ml",1 ML,3.472,20.000,,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.119,20.000,,,,,,
A9576,Inj prohance multipack,1 ML,1.434,20.000,,,,,,
A9577,Inj multihance,1 ML,1.815,20.000,,,,,,
A9578,Inj multihance multipack,1 ML,1.808,20.000,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.491,20.000,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.712,20.000,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.264,20.000,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1378.413,20.000,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $196.92
microCurie 100% WAC = $164.10"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.866,20.000,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.206,20.000,,,,,,
J0129,Abatacept injection,10 MG,43.377,20.000,,,,,,"""lesser of"" methodology applied"
J0131,"Inj, acetaminophen (nos)",10 MG,0.052,20.000,,,,,,
J0132,Acetylcysteine injection,100 MG,0.446,20.000,,,,,,
J0133,Acyclovir injection,5 MG,0.035,20.000,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.052,20.000,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.049,20.000,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.025,20.000,,,,,,
J0138,Inj acetaminoph 10mg/ibu 3mg,10 MG/3MG,0.218,20.000,,,,,,Added April 2025
J0153,Adenosine inj 1mg,1 MG,0.386,20.000,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.732,20.000,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,
J0173,"Inj, epinephrine (belcher)",0.1 MG,2.252,20.000,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.330,20.000,,,,,,
J0175,"Inj, donanemab-azbt, 2 mg",2 MG,4.181,20.000,,,,,,
J0177,"Inj, aflibercept hd, 1 mg",1 MG,321.176,20.000,,,,,,
J0178,Aflibercept injection,1 MG,795.861,20.000,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,339.988,20.000,,,,,,
J0180,Agalsidase beta injection,1 MG,222.839,20.000,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.710,20.000,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2441.493,20.000,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,4.450,20.000,,,,,,
J0217,Inj velmanase alfa-tycv 1 mg,1 MG,444.976,19.679,,,,,,Inflation-adjusted coinsurance
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,381.237,20.000,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,77.817,20.000,,,,,,
J0221,Lumizyme injection,10 MG,201.566,20.000,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,99.039,20.000,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,116.471,20.000,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,318.852,20.000,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4956.310,20.000,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.354,20.000,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,5.160,20.000,,,,,,
J0257,Glassia injection,10 MG,5.448,20.000,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.601,20.000,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,11.049,20.000,,,,,,
J0281,Inj aminocaproic acid 1 gram,1 GM,1.303,20.000,,,,,,Added April 2025
J0282,Amiodarone hcl,30 MG,0.327,20.000,,,,,,
J0283,"Inj, amiodarone (nexterone)",30 MG,2.594,11.612,,,,,,Inflation-adjusted coinsurance
J0285,Amphotericin b,50 MG,50.066,20.000,,,,,,
J0287,Amphotericin b lipid complex,10 MG,10.299,20.000,,,,,,Added April 2025
J0289,Amphotericin b liposome inj,10 MG,23.307,20.000,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.597,20.000,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.574,20.000,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,1.573,20.000,,,,,,
J0348,Anidulafungin injection,1 MG,0.472,20.000,,,,,,
J0349,"Inj, rezafungin, 1 mg",1 MG,10.418,19.942,,,,,,Inflation-adjusted coinsurance
J0360,Hydralazine hcl injection,20 MG,4.402,20.000,,,,,,
J0401,"Inj, abilify maintena, 1 mg",1 MG,7.033,20.000,,,,,,
J0402,"Inj, abilify asimtufii, 1 mg",1 MG,5.872,20.000,,,,,,
J0456,Azithromycin,500 MG,2.221,20.000,,,,,,
J0457,"Injection, aztreonam, 100 mg",100 MG,2.478,20.000,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.111,20.000,,,,,,
J0475,Baclofen 10 mg injection,10 MG,174.804,20.000,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,53.819,20.000,,,,,,
J0480,Basiliximab,20 MG,4687.658,20.000,,,,,,
J0485,Belatacept injection,1 MG,3.891,20.000,,,,,,
J0490,Belimumab injection,10 MG,54.968,20.000,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,17.777,20.000,,,,,,
J0500,Dicyclomine injection,20 MG,12.857,20.000,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.765,20.000,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,163.300,20.000,,,,,,"""lesser of"" methodology applied"
J0558,Peng benzathine/procaine inj,"100,000 UNITS",17.368,16.732,,,,,,Inflation-adjusted coinsurance
J0561,Penicillin g benzathine inj,"100,000 UNITS",26.984,13.590,,,,,,Inflation-adjusted coinsurance
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.869,20.000,,,,,,
J0577,"Inj, brixadi, 7 days or less",Less than or equal to 7 days of therapy ,425.404,19.491,,,,,,Inflation-adjusted coinsurance
J0578,"Inj brixadi, more than 7 day",Greater than 7 days and up to 28 days of therapy ,1701.615,19.491,,,,,,Inflation-adjusted coinsurance
J0583,Bivalirudin,1 MG,0.153,20.000,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,469.742,18.960,,,,,,Inflation-adjusted coinsurance
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.478,20.000,,,,,,
J0586,Abobotulinumtoxina,5 Unit,9.044,20.000,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.996,20.000,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.330,20.000,,,,,,
J0589,Inj daxibotulinumtoxina-lanm,1 UNIT,2.992,20.000,,,,,,Added April 2025
J0592,Buprenorphine hydrochloride,0.1 MG,4.178,20.000,,,,,,
J0593,"Inj., lanadelumab-flyo, 1 mg",1 mg,84.802,20.000,,,,,,Added April 2025
J0594,Busulfan injection,1 MG,1.456,20.000,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,4.692,20.000,,,,,,
J0596,"Injection, ruconest",10 UNITS,34.750,20.000,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,72.267,19.201,,,,,,Inflation-adjusted coinsurance
J0598,"C-1 esterase, cinryze",10 UNITS,63.877,20.000,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,6460.026,20.000,,,,,,
J0612,"Inj, calcium gluconate, nos",10 MG,0.046,20.000,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.076,20.000,,,,,,
J0637,Caspofungin acetate,5 MG,3.336,20.000,,,,,,
J0638,Canakinumab injection,1 MG,136.557,20.000,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.513,20.000,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.017,20.000,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.176,20.000,,,,,,
J0650,"Inj, levothyroxine nos 10mcg",10 MCG,7.261,20.000,,,,,,
J0651,"Inj, levothyroxine, freskabi",10 MCG,6.398,20.000,,,,,,
J0652,"Inj, levothyroxine, hikma",10 MCG,5.136,20.000,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.010,20.000,,,,,,
J0666,"Inj, bupivacaine liposome",1 MG,1.421,20.000,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.627,20.000,,,,,,
J0687,Inj cefazolin (wg crit care),500 MG,0.973,20.000,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,0.982,20.000,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.245,20.000,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.828,20.000,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.201,20.000,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.010,20.000,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),8.041,19.921,,,,,,Inflation-adjusted coinsurance
J0696,Ceftriaxone sodium injection,250 MG,0.493,20.000,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.013,20.000,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.282,20.000,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.804,20.000,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.848,20.000,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,5.044,20.000,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.991,20.000,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.600,20.000,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,100.496,20.000,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,3.984,20.000,,,,,,"""lesser of"" methodology applied"
J0725,Chorionic gonadotropin/1000u,1000 UNITS,18.252,20.000,,,,,,
J0735,Clonidine hydrochloride,1 MG,16.202,20.000,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,1.613,20.000,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,2.527,20.000,,,,,,
J0739,"Hiv prep, inj, cabotegravir",1 mg,6.887,0.000,,,,,,
J0740,Cidofovir injection,375 MG,521.827,20.000,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,23.132,20.000,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.497,20.000,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.337,20.000,,,,,,
J0744,Ciprofloxacin iv,200 MG,2.098,20.000,,,,,,
J0750,"Hiv prep, ftc/tdf 200/300mg",200 mg/300 mg,1.277,0.000,,,,,,
J0751,"Hiv prep, ftc/taf 200/25mg",200 mg/25 mg,71.272,0.000,,,,,,
J0770,Colistimethate sodium inj,150 MG,11.942,20.000,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,73.375,17.894,,,,,,Inflation-adjusted coinsurance
J0780,Prochlorperazine injection,10 MG,2.917,20.000,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,129.502,20.000,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,3893.429,20.000,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3445.584,20.000,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,33.397,20.000,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1755.811,20.000,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1043.547,20.000,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1812.007,20.000,,,,,,
J0870,"Injection, imetelstat, 1 mg",1 MG,55.510,20.000,,,,,,Added April 2025
J0872,Daptomycin (xellia) unrefrig,1 MG,0.051,20.000,,,,,,
J0873,Inj daptomycin (xellia),1 MG,0.034,20.000,,,,,,
J0874,"Inj, daptomycin (baxter)",1 MG,0.065,20.000,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.567,20.000,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.055,20.000,,,,,,
J0878,Daptomycin injection,1 MG,0.033,20.000,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.918,20.000,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.918,20.000,,,,,,
J0883,Argatroban nonesrd use 1mg,1 MG,0.950,20.000,,,,,,Added April 2025
J0884,Argatroban esrd dialysis 1mg,1 MG,0.950,20.000,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,7.080,20.000,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.260,20.000,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.260,20.000,,,,,,
J0893,"Inj, decitabine (sun pharma)",1 MG,0.777,20.000,,,,,,Added April 2025
J0894,Decitabine injection,1 MG,1.765,20.000,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.208,20.000,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,41.243,20.000,,,,,,
J0897,Denosumab injection,1 MG,27.809,18.201,,,,,,Inflation-adjusted coinsurance
J0898,Argatroban nonesrd (auromed),1 MG,1.338,20.000,,,,,,Added April 2025
J0899,"Argatroban dialysis, auromed",1 MG,1.338,20.000,,,,,,Added April 2025
J1000,Depo-estradiol cypionate inj,5 MG,42.323,20.000,,,,,,
J1010,"Inj, methylpred acetate 1 mg",1 MG,0.110,20.000,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.030,20.000,,,,,,
J1096,Dexametha opth insert 0.1 mg,0.1 MG,110.680,20.000,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.093,20.000,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,85.747,20.000,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,19.061,20.000,,,,,,
J1160,Digoxin injection,0.5 MG,4.880,20.000,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,4968.580,20.000,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.522,20.000,,,,,,
J1171,"Inj, hydromorphone, 0.1 mg",0.1 MG,0.137,20.000,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,80.956,20.000,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.661,20.000,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,15.623,20.000,,,,,,
J1203,"Inj, cipaglucosidase, 5 mg",5 MG,89.846,20.000,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,32.482,20.000,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,714.724,20.000,,,,,,
J1230,Methadone injection,10 MG,20.912,20.000,,,,,,
J1240,Dimenhydrinate injection,50 MG,8.346,20.000,,,,,,
J1245,Dipyridamole injection,10 MG,3.836,20.000,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,8.145,20.000,,,,,,
J1265,Dopamine injection,40 MG,0.709,20.000,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.376,20.000,,,,,,
J1271,Inj doxycycline hyclate 1 mg,1 MG,0.120,20.000,,,,,,Added April 2025
J1290,Ecallantide injection,1 MG,564.641,20.000,,,,,,
J1299,"Inj, eculizumab, 2 mg",2 MG,44.809,20.000,,,,,,Added April 2025
J1301,"Injection, edaravone, 1 mg",1 MG,20.405,20.000,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,18.127,20.000,,,,,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,220.317,20.000,,,,,,
J1304,Inj tofersen intrathec 1 mg,1 MG,155.337,20.000,,,,,,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,186.306,20.000,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.274,20.000,,,,,,
J1308,"Inj, famotidine, 0.25 mg",0.25 MG,0.008,20.000,,,,,,Added April 2025
J1322,"Elosulfase alfa, injection",1 MG,293.935,20.000,,,,,,
J1323,"Inj, elranatamab-bcmm, 1 mg",1 MG,182.980,20.000,,,,,,
J1325,Epoprostenol injection,0.5 MG,16.075,20.000,,,,,,
J1335,Ertapenem injection,500 MG,9.182,20.000,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,65.960,20.000,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,7.301,20.000,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,382.887,20.000,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,497.700,20.000,,,,,,
J1434,"Inj, focinvez, 1mg",1 MG,3.021,20.000,,,,,,Added April 2025
J1437,Inj. fe derisomaltose 10 mg,10 MG,20.826,20.000,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.127,20.000,,,,,,
J1440,Fecal microbiota jslm 1 ml,1 ML,63.934,20.000,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.983,20.000,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.366,20.000,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.388,20.000,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,22.608,20.000,,,,,,
J1450,Fluconazole,200 MG,3.577,20.000,,,,,,
J1453,Fosaprepitant injection,1 MG,0.118,20.000,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,632.875,20.000,,,,,,
J1455,Foscarnet sodium injection,1000 MG,21.629,20.000,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,1.214,6.600,,,,,,Inflation-adjusted coinsurance
J1458,Galsulfase injection,1 MG,484.877,20.000,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,49.179,20.000,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,48.885,20.000,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.335,20.000,,,,,,
J1552,"Inj, alyglo, 500 mg",500 MG,138.111,20.000,,,,,,
J1554,Inj. asceniv,500 MG,496.683,20.000,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,16.682,20.000,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,77.298,20.000,,,,,,
J1557,Gammaplex injection,500 MG,57.476,20.000,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,14.283,20.000,,,,,,
J1559,Hizentra injection,100 MG,13.644,19.870,,,,,,Inflation-adjusted coinsurance
J1560,Gamma globulin > 10 cc inj,10 CC,488.853,20.000,,,,,,
J1561,Gamunex-c/gammaked,500 MG,48.345,20.000,,,,,,
J1566,"Immune globulin, powder",500 MG,81.011,20.000,,,,,,
J1568,Octagam injection,500 MG,48.055,20.000,,,,,,
J1569,Gammagard liquid injection,500 MG,45.129,20.000,,,,,,
J1570,Ganciclovir sodium injection,500 MG,32.086,20.000,,,,,,
J1571,Hepagam b im injection,0.5 ML,65.146,20.000,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,65.146,20.000,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,17.565,20.000,,,,,,
J1576,"Inj, panzyga, 500 mg",500 MG,70.432,20.000,,,,,,
J1580,Garamycin gentamicin inj,80 MG,2.467,20.000,,,,,,
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.509,20.000,,,,,,
J1598,Inj glycopyrrolate fres kabi,0.1 MG,1.659,20.000,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,10.769,20.000,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,190.763,20.000,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,150.437,20.000,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.261,20.000,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,5.286,20.000,,,,,,
J1628,"Inj., guselkumab, 1 mg",1 MG,70.427,20.000,,,,,,
J1630,Haloperidol injection,5 MG,0.776,20.000,,,,,,
J1631,Haloperidol decanoate inj,50 MG,4.611,20.000,,,,,,
J1640,"Hemin, 1 mg",1 MG,33.073,19.297,,,,,,Inflation-adjusted coinsurance
J1642,Inj heparin sodium per 10 u,10 UNITS,0.018,20.000,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,2.942,20.000,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.219,20.000,,,,,,
J1645,Dalteparin sodium,2500 IU,16.043,12.984,,,,,,Inflation-adjusted coinsurance
J1650,Inj enoxaparin sodium,10 MG,0.516,20.000,,,,,,
J1652,Fondaparinux sodium,0.5 MG,0.855,20.000,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,575.760,20.000,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,20.580,20.000,,,,,,
J1740,Ibandronate sodium injection,1 MG,22.219,20.000,,,,,,
J1741,Ibuprofen injection,100 MG,2.975,20.000,,,,,,
J1743,Idursulfase injection,1 MG,542.574,20.000,,,,,,
J1744,Icatibant injection,1 MG,125.317,20.000,,,,,,Added April 2025
J1745,Infliximab not biosimil 10mg,10 MG,30.523,20.000,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,76.950,20.000,,,,,,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,61.428,20.000,,,,,,
J1750,Inj iron dextran,50 MG,17.233,20.000,,,,,,
J1756,Iron sucrose injection,1 MG,0.237,20.000,,,,,,
J1786,Imuglucerase injection,10 UNITS,43.141,20.000,,,,,,
J1790,Droperidol injection,up to 5 MG,8.565,20.000,,,,,,Added April 2025
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.282,20.000,,,,,,
J1806,Inj esmolol hcl wg crit care,10 MG,0.410,20.000,,,,,,
J1808,"Inj, folic acid, 0.1 mg",0.1 MG,0.063,20.000,,,,,,Added April 2025
J1811,Fiasp for insulin pump use,50 UNITS,6.668,20.000,,,,,,
J1813,Lyumjev for insulin pump use,50 UNITS,15.328,20.000,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,2.491,20.000,,,,,,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,484.403,20.000,,,,,,
J1836,"Inj, metronidazole, 10 mg",10 MG,0.026,20.000,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.501,20.000,,,,,,
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.419,20.000,,,,,,
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,1.382,20.000,,,,,,
J1930,Lanreotide injection,1 MG,39.551,20.000,,,,,,
J1931,Laronidase injection,0.1 MG,38.605,20.000,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,25.422,20.000,,,,,,
