Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2024 through December 31, 2024",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q24 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.935,20.000,,,,,,,
J0257,Glassia injection,10 MG,5.576,20.000,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.769,20.000,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,6.481,20.000,,,,,,,
J0283,"Inj, amiodarone (nexterone)",30 MG,2.544,11.760,,,,,,Inflation-adjusted coinsurance,
J0285,Amphotericin b,50 MG,48.957,20.000,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,23.325,20.000,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.784,20.000,,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.593,20.000,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.017,20.000,,,,,,,
J0348,Anidulafungin injection,1 MG,0.459,20.000,,,,,,,
J0349,"Inj, rezafungin, 1 mg",1 MG,10.121,20.000,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.040,20.000,,,,,,,
J0401,"Inj, abilify maintena, 1 mg",1 MG,7.074,20.000,,,,,,,
J0402,"Inj, abilify asimtufii, 1 mg",1 MG,5.947,20.000,,,,,,,
J0456,Azithromycin,500 MG,2.059,20.000,,,,,,,
J0457,"Injection, aztreonam, 100 mg",100 MG,1.974,20.000,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.108,20.000,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,174.581,20.000,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,43.552,20.000,,,,,,,
J0480,Basiliximab,20 MG,4588.770,20.000,,,,,,,
J0485,Belatacept injection,1 MG,3.812,20.000,,,,,,,
J0490,Belimumab injection,10 MG,54.149,20.000,,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,17.291,20.000,,,,,,,
J0500,Dicyclomine injection,20 MG,15.874,20.000,,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.562,20.000,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,167.297,20.000,,,,,,"""lesser of"" methodology applied",
J0558,Peng benzathine/procaine inj,"100,000 UNITS",19.523,14.786,,,,,,Inflation-adjusted coinsurance,
J0561,Penicillin g benzathine inj,"100,000 UNITS",24.368,14.948,,,,,,Inflation-adjusted coinsurance,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.863,20.000,,,,,,,
J0577,"Inj, brixadi, 7 days or less",Less than or equal to 7 days of therapy ,429.156,20.000,,,,,,,
J0578,"Inj brixadi, more than 7 day",Greater than 7 days and up to 28 days of therapy ,1716.623,20.000,,,,,,,
J0583,Bivalirudin,1 MG,0.167,20.000,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,469.576,18.840,,,,,,Inflation-adjusted coinsurance,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.406,20.000,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.630,20.000,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.989,20.000,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.338,20.000,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.026,20.000,,,,,,,
J0594,Busulfan injection,1 MG,1.270,20.000,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,4.061,20.000,,,,,,,
J0596,"Injection, ruconest",10 UNITS,34.724,20.000,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,68.362,20.000,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,64.212,20.000,,,,,,,
J0612,"Inj, calcium gluconate, nos",10 MG,0.039,20.000,,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.088,20.000,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,1173.059,20.000,,,,,,,
J0637,Caspofungin acetate,5 MG,6.320,20.000,,,,,,,
J0638,Canakinumab injection,1 MG,127.810,20.000,,,,,,,
J0640,Leucovorin calcium injection,50 MG,4.070,20.000,,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.206,20.000,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.375,20.000,,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.011,20.000,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.488,20.000,,,,,,,
J0687,Inj cefazolin (wg crit care),500 MG,1.036,20.000,,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,0.984,20.000,,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.260,20.000,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.805,20.000,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.217,20.000,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.510,20.000,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),8.230,19.333,,,,,,Inflation-adjusted coinsurance,
J0696,Ceftriaxone sodium injection,250 MG,0.444,20.000,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,1.884,20.000,,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.282,20.000,,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.833,20.000,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,7.399,20.000,,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,4.973,9.106,,,,,,Inflation-adjusted coinsurance,
J0712,Ceftaroline fosamil inj,10 MG,3.935,20.000,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.660,20.000,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,100.582,20.000,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,4.652,20.000,,,,,,"""lesser of"" methodology applied",
J0725,Chorionic gonadotropin/1000u,1000 UNITS,19.184,20.000,,,,,,,
J0735,Clonidine hydrochloride,1 MG,18.370,20.000,,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,2.465,20.000,,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,2.815,20.000,,,,,,,
J0739,"Hiv prep, inj, cabotegravir",1 mg,N/A,0.000,,,,,,The payment allowance for this code will be determined by the MAC processing the claim.,
J0740,Cidofovir injection,375 MG,528.002,20.000,,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,22.901,20.000,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.512,20.000,,,,,,,
J0743,Cilastatin sodium injection,250 MG,6.956,20.000,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.858,20.000,,,,,,,
J0750,"Hiv prep, ftc/tdf 200/300mg",200 mg/300 mg,N/A,0.000,,,,,,The payment allowance for this code will be determined by the MAC processing the claim.,
J0751,"Hiv prep, ftc/taf 200/25mg",200 mg/25 mg,N/A,0.000,,,,,,The payment allowance for this code will be determined by the MAC processing the claim.,
J0770,Colistimethate sodium inj,150 MG,12.282,20.000,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,71.159,18.328,,,,,,Inflation-adjusted coinsurance,
J0780,Prochlorperazine injection,10 MG,3.661,20.000,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,128.538,20.000,,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,3750.080,20.000,,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3416.971,20.000,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,25.089,20.000,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1762.348,20.000,,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1040.114,20.000,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1814.938,20.000,,,,,,,
J0872,Daptomycin (xellia) unrefrig,1 MG,0.041,20.000,,,,,,,
J0873,Inj daptomycin (xellia),1 MG,0.041,20.000,,,,,,,
J0874,"Inj, daptomycin (baxter)",1 MG,0.068,20.000,,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.612,20.000,,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.056,20.000,,,,,,,
J0878,Daptomycin injection,1 MG,0.032,20.000,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.036,20.000,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.036,20.000,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,7.528,20.000,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.211,20.000,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.157,20.000,,,,,,,
J0894,Decitabine injection,1 MG,1.630,20.000,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,6.778,20.000,,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,40.615,20.000,,,,,,,
J0897,Denosumab injection,1 MG,26.960,18.649,,,,,,Inflation-adjusted coinsurance,
J1000,Depo-estradiol cypionate inj,5 MG,38.653,20.000,,,,,,,
J1010,"Inj, methylpred acetate 1 mg",1 MG,0.119,20.000,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.032,20.000,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.112,20.000,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,48.077,20.000,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,23.650,20.000,,,,,,,
J1160,Digoxin injection,0.5 MG,15.715,20.000,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,4888.104,20.000,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.444,20.000,,,,,,,
J1171,"Inj, hydromorphone, 0.1 mg",0.1 MG,0.085,20.000,,,,,,Added October 2024,
J1190,Dexrazoxane hcl injection,250 MG,87.494,20.000,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.747,20.000,,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,14.874,20.000,,,,,,,
J1203,"Inj, cipaglucosidase, 5 mg",5 MG,88.055,20.000,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,39.897,20.000,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,715.901,20.000,,,,,,,
J1230,Methadone injection,10 MG,20.845,20.000,,,,,,,
J1240,Dimenhydrinate injection,50 MG,8.299,20.000,,,,,,,
J1245,Dipyridamole injection,10 MG,3.817,20.000,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,7.928,20.000,,,,,,,
J1265,Dopamine injection,40 MG,0.721,20.000,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.380,20.000,,,,,,,
J1290,Ecallantide injection,1 MG,565.826,20.000,,,,,,,
J1300,Eculizumab injection,10 MG,224.633,20.000,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,22.139,20.000,,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,18.129,20.000,,,,,,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,220.752,20.000,,,,,,,
J1304,Inj tofersen intrathec 1 mg,1 MG,153.664,20.000,,,,,,,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,186.306,20.000,,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.185,20.000,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,293.916,20.000,,,,,,,
J1323,"Inj, elranatamab-bcmm, 1 mg",1 MG,178.848,20.000,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.860,20.000,,,,,,,
J1335,Ertapenem injection,500 MG,10.416,20.000,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,65.379,20.000,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,7.505,20.000,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,382.786,20.000,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,491.684,20.000,,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,21.052,20.000,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.101,20.000,,,,,,,
J1440,Fecal microbiota jslm 1 ml,1 ML,63.300,20.000,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.995,20.000,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.388,20.000,,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.362,20.000,,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,22.754,20.000,,,,,,,
J1450,Fluconazole,200 MG,2.612,20.000,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.136,20.000,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,679.510,20.000,,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,2.043,3.896,,,,,,Inflation-adjusted coinsurance,
J1458,Galsulfase injection,1 MG,484.752,20.000,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,48.579,20.000,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,49.852,20.000,,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.498,20.000,,,,,,,
J1554,Inj. asceniv,500 MG,491.404,20.000,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,16.820,20.000,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,75.171,20.000,,,,,,,
J1557,Gammaplex injection,500 MG,57.925,20.000,,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,14.295,20.000,,,,,,,
J1559,Hizentra injection,100 MG,13.232,20.000,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,498.522,20.000,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,48.805,20.000,,,,,,,
J1566,"Immune globulin, powder",500 MG,82.192,20.000,,,,,,,
J1568,Octagam injection,500 MG,48.995,20.000,,,,,,,
J1569,Gammagard liquid injection,500 MG,49.692,20.000,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,36.406,20.000,,,,,,,
J1571,Hepagam b im injection,0.5 ML,68.657,20.000,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,17.503,20.000,,,,,,,
J1576,"Inj, panzyga, 500 mg",500 MG,67.461,20.000,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,2.740,20.000,,,,,,,
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.510,20.000,,,,,,,
J1598,Inj glycopyrrolate fres kabi,0.1 MG,1.803,20.000,,,,,,Added October 2024,
J1602,Golimumab for iv use 1mg,1 MG,11.100,20.000,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,192.303,20.000,,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,108.925,20.000,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.281,20.000,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,5.705,20.000,,,,,,,
J1630,Haloperidol injection,5 MG,1.030,20.000,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,6.781,20.000,,,,,,,
J1640,"Hemin, 1 mg",1 MG,32.195,19.690,,,,,,Inflation-adjusted coinsurance,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.017,20.000,,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,3.734,20.000,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.219,20.000,,,,,,,
J1645,Dalteparin sodium,2500 IU,17.206,12.026,,,,,,Inflation-adjusted coinsurance,
J1650,Inj enoxaparin sodium,10 MG,0.570,20.000,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,0.920,20.000,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,581.777,19.940,,,,,,Inflation-adjusted coinsurance,
J1720,Hydrocortisone sodium succ i,100 MG,19.397,20.000,,,,,,,
J1740,Ibandronate sodium injection,1 MG,27.136,20.000,,,,,,,
J1743,Idursulfase injection,1 MG,537.925,20.000,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,32.223,20.000,,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,77.064,20.000,,,,,,,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,61.428,20.000,,,,,,,
J1750,Inj iron dextran,50 MG,17.669,20.000,,,,,,,
J1756,Iron sucrose injection,1 MG,0.233,20.000,,,,,,,
J1786,Imuglucerase injection,10 UNITS,43.615,20.000,,,,,,,
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.194,20.000,,,,,,,
J1806,Inj esmolol hcl wg crit care,10 MG,0.358,20.000,,,,,,,
J1811,Fiasp for insulin pump use,50 UNITS,7.413,20.000,,,,,,,
J1813,Lyumjev for insulin pump use,50 UNITS,15.534,20.000,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,2.462,20.000,,,,,,,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,484.403,20.000,,,,,,,
J1836,"Inj, metronidazole, 10 mg",10 MG,0.026,20.000,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.682,20.000,,,,,,,
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.267,20.000,,,,,,,
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,1.631,20.000,,,,,,,
J1930,Lanreotide injection,1 MG,49.971,20.000,,,,,,,
J1931,Laronidase injection,0.1 MG,38.698,20.000,,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,36.803,20.000,,,,,,,
J1939,"Inj, bumetanide, 0.5 mg",0.5 MG,0.620,20.000,,,,,,,
J1940,Furosemide injection,20 MG,0.396,20.000,,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,3.191,20.000,,,,,,,
J1944,Aripiprazole lauroxil 1 mg,1 MG,3.227,20.000,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1617.647,19.377,,,,,,Inflation-adjusted coinsurance,
J1951,Inj fensolvi 0.25 mg,0.25 MG,140.623,20.000,,,,,,,
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,54.999,20.000,,,,,,,
J1953,Levetiracetam injection,10 MG,0.055,20.000,,,,,,,
J1954,Leuprolide depot cipla 7.5mg,7.5 MG,257.704,20.000,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,27.721,20.000,,,,,,,
J1956,Levofloxacin injection,250 MG,1.153,20.000,,,,,,,
J1961,"Inj, lenacapavir, 1 mg",1 MG,21.993,20.000,,,,,,,
J2002,"Inj, lidocaine in d5w, 1 mg",1 MG,0.003,20.000,,,,,,Added October 2024,
J2010,Lincomycin injection,300 MG,9.356,20.000,,,,,,,
J2020,Linezolid injection,200 MG,3.080,20.000,,,,,,,
J2021,"Inj, linezolid (hospira)",200 MG,14.761,12.009,,,,,,Inflation-adjusted coinsurance,
J2060,Lorazepam injection,2 MG,1.456,20.000,,,,,,,
J2150,Mannitol injection,50 ML,2.609,20.000,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,6.517,20.000,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,30.435,20.000,,,,,,,
